cancer,name,sample_size,nmale,nfemale,percentfemale,nsva,ngenes,nsiggenes,malebiased,percentmale,femalebiased,percentfemale
ACC,Adrenocortical Carcinoma,79,31,48,0.607594936708861,0,19190,37,27,73,10,27
BLCA,Breast Lobular Carcinoma,389,291,98,0.251928020565553,0,19494,55,34,62,21,38
BRCA,Breast Invasive Carcinoma,977,11,966,0.988741044012282,0,19447,853,744,87,109,13
CESC,Cervical Squamous Cell Carcinoma,299,0,299,1,0,19422,0,0,NaN,0,NaN
CHOL,Cholangiocarcinoma,27,10,17,0.62962962962963,0,19203,26,21,81,5,19
COAD,Colorectal Adenocarcinoma,270,144,126,0.466666666666667,0,19203,61,35,57,26,43
DLBC,Diffuse Large B-cell,15,8,7,0.466666666666667,0,19966,17,15,88,2,12
ESCA,Esophageal Carcinoma,172,151,21,0.122093023255814,0,19980,0,0,NaN,0,NaN
GBM,Glioblastoma Multiforme,153,101,52,0.339869281045752,0,19310,48,25,52,23,48
HNSC,Head/Neck Squamous Cell Carcinoma,476,355,121,0.254201680672269,0,19617,2450,1016,41,1434,59
KICH,Kidney Chromophobe,41,26,15,0.365853658536585,0,19024,19,17,89,2,11
KIRC,Kidney Reneal Clear Cell,460,292,168,0.365217391304348,0,19594,2159,778,36,1381,64
KIRP,Kidney Renal Papillary Cell Carcinoma,257,192,65,0.252918287937743,0,19373,3876,1933,50,1943,50
LAML,Acute Myeloid Lukemia,173,93,80,0.46242774566474,0,18844,45,27,60,18,40
LGG,Lower Grade Glioma,501,279,222,0.44311377245509,0,19410,74,45,61,29,39
LIHC,Liver Hepatocellular Carcinoma,319,220,99,0.310344827586207,0,19265,2058,1088,53,970,47
LUAD,Lung Adenocarcinoma,456,213,243,0.532894736842105,0,19462,877,488,56,389,44
LUSC,Lung Squaous Cell Carcinoma,450,334,116,0.257777777777778,0,19589,796,251,32,545,68
OV,Ovarian,301,0,301,1,0,19624,0,0,NaN,0,NaN
PAAD,Pancreatic Adenocarcinoma,173,95,78,0.450867052023121,0,19432,50,31,62,19,38
PCPG,Pheochromocytoma and Paraganglioma,172,73,99,0.575581395348837,0,19277,43,31,72,12,28
PRAD,Prostate Adenocarcinoma,444,444,0,0,0,19387,0,0,NaN,0,NaN
READ,Rectum Adenocarcinoma,91,50,41,0.450549450549451,0,19248,24,21,88,3,12
SARC,Sarcoma,253,116,137,0.541501976284585,0,19550,1221,727,60,494,40
STAD,Stomach Adenocarcinoma,41,23,18,0.439024390243902,0,19888,24,20,83,4,17
TGCT,Testicular Germ Cell,129,129,0,0,0,19845,0,0,NaN,0,NaN
THCA,Thyroid Cancer,434,114,320,0.737327188940092,0,19158,111,50,45,61,55
THYM,Thymoma,118,63,55,0.466101694915254,0,19429,45,27,60,18,40
UCEC,Uterine Corpus Endometrial Carcinoma,176,0,176,1,0,19569,0,0,NaN,0,NaN
UCS,Uterine Carcinosarcoma,57,0,57,1,0,19661,0,0,NaN,0,NaN
UVM,Uveal Melanoma,80,45,35,0.4375,0,18835,25,19,76,6,24
