cancer,name,sample_size,nmale,nfemale,percentfemale,nsva,ngenes,nsiggenes,malebiased,percentmale,femalebiased,percentfemale
ACC,Adrenocortical Carcinoma,79,31,48,0.607594936708861,15,19190,25,20,80,5,20
BLCA,Breast Lobular Carcinoma,389,291,98,0.251928020565553,41,19494,74,34,46,40,54
BRCA,Breast Invasive Carcinoma,977,11,966,0.988741044012282,78,19447,170,151,89,19,11
CESC,Cervical Squamous Cell Carcinoma,299,0,299,1,0,19422,0,0,NaN,0,NaN
CHOL,Cholangiocarcinoma,27,10,17,0.62962962962963,8,19203,21,18,86,3,14
COAD,Colorectal Adenocarcinoma,270,144,126,0.466666666666667,32,19203,84,39,46,45,54
DLBC,Diffuse Large B-cell,15,8,7,0.466666666666667,4,19966,15,14,93,1,6.7
ESCA,Esophageal Carcinoma,172,151,21,0.122093023255814,20,19980,0,0,NaN,0,NaN
GBM,Glioblastoma Multiforme,153,101,52,0.339869281045752,22,19310,54,29,54,25,46
HNSC,Head/Neck Squamous Cell Carcinoma,476,355,121,0.254201680672269,44,19617,127,43,34,84,66
KICH,Kidney Chromophobe,41,26,15,0.365853658536585,9,19024,19,17,89,2,11
KIRC,Kidney Reneal Clear Cell,460,292,168,0.365217391304348,45,19594,3391,1175,35,2216,65
KIRP,Kidney Renal Papillary Cell Carcinoma,257,192,65,0.252918287937743,35,19373,3048,1508,49,1540,51
LAML,Acute Myeloid Lukemia,173,93,80,0.46242774566474,24,18844,50,25,50,25,50
LGG,Lower Grade Glioma,501,279,222,0.44311377245509,35,19410,241,101,42,140,58
LIHC,Liver Hepatocellular Carcinoma,319,220,99,0.310344827586207,36,19265,150,75,50,75,50
LUAD,Lung Adenocarcinoma,456,213,243,0.532894736842105,50,19462,88,41,47,47,53
LUSC,Lung Squaous Cell Carcinoma,450,334,116,0.257777777777778,49,19589,118,61,52,57,48
OV,Ovarian,301,0,301,1,0,19624,0,0,NaN,0,NaN
PAAD,Pancreatic Adenocarcinoma,173,95,78,0.450867052023121,22,19432,71,34,48,37,52
PCPG,Pheochromocytoma and Paraganglioma,172,73,99,0.575581395348837,26,19277,58,35,60,23,40
PRAD,Prostate Adenocarcinoma,444,444,0,0,0,19387,0,0,NaN,0,NaN
READ,Rectum Adenocarcinoma,91,50,41,0.450549450549451,17,19248,33,19,58,14,42
SARC,Sarcoma,253,116,137,0.541501976284585,31,19550,73,36,49,37,51
STAD,Stomach Adenocarcinoma,41,23,18,0.439024390243902,9,19888,31,20,65,11,35
TGCT,Testicular Germ Cell,129,129,0,0,0,19845,0,0,NaN,0,NaN
THCA,Thyroid Cancer,434,114,320,0.737327188940092,33,19158,1133,323,29,810,71
THYM,Thymoma,118,63,55,0.466101694915254,13,19429,69,34,49,35,51
UCEC,Uterine Corpus Endometrial Carcinoma,176,0,176,1,0,19569,0,0,NaN,0,NaN
UCS,Uterine Carcinosarcoma,57,0,57,1,0,19661,0,0,NaN,0,NaN
UVM,Uveal Melanoma,80,45,35,0.4375,13,18835,39,18,46,21,54
