ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.5,9.1e-41,1.3e-36
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,1.6e-40,1.3e-36
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.9,1.2e-36,6.4e-33
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.5,1.3e-35,5.3e-32
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7,2.1e-34,6e-31
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.1,2.2e-34,6e-31
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,7.8,1.2e-33,2.8e-30
XIST|7503,ENSG00000229807,XIST,7503,X,-9.8,2.4e-32,4.9e-29
UTY|7404,ENSG00000183878,UTY,7404,Y,7.4,1.1e-30,2e-27
TSIX|9383,ENSG00000270641,TSIX,9383,X,-8.7,5.4e-29,8.1e-26
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,6.7,5.5e-29,8.1e-26
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.5,1.1e-28,1.5e-25
CYorf15B|84663,NA,NA,NA,NA,6.6,7.6e-26,9.4e-23
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.1,7e-24,8e-21
FAM117A|81558,ENSG00000121104,FAM117A,81558,17,-0.83,5.2e-06,0.0055
CD300LG|146894,ENSG00000161649,CD300LG,146894,17,-2.4,8e-06,0.0081
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.81,9.2e-06,0.0087
DPYSL2|1808,ENSG00000092964,DPYSL2,1808,8,-0.97,1.3e-05,0.012
SFRS8|6433,ENSG00000061936,SFSWAP,6433,12,0.49,1.4e-05,0.012
RND2|8153,ENSG00000108830,RND2,8153,17,-1.4,2.4e-05,0.019
TEF|7008,ENSG00000167074,TEF,7008,22,-0.85,4e-05,0.03
FECH|2235,ENSG00000066926,FECH,2235,18,-0.61,4.2e-05,0.03
KIAA0100|9703,ENSG00000007202,KIAA0100,9703,17,-0.57,4.8e-05,0.033
MAFG|4097,ENSG00000197063,MAFG,4097,17,-0.65,5.2e-05,0.035
RPRD1A|55197,ENSG00000141425,RPRD1A,55197,18,-0.53,7.2e-05,0.043
ACLY|47,ENSG00000131473,ACLY,47,17,-0.81,7.3e-05,0.043
GAS2L1|10634,ENSG00000185340,GAS2L1,10634,22,-0.62,7.4e-05,0.043
CHFR|55743,ENSG00000072609,CHFR,55743,12,0.46,7.5e-05,0.043
