ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,3.5e-175,5.7e-171
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.6,1.5e-162,1.3e-158
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.3,1.4e-151,7.6e-148
XIST|7503,ENSG00000229807,XIST,7503,X,-10,5.7e-149,2.4e-145
TSIX|9383,ENSG00000270641,TSIX,9383,X,-8.9,1e-140,3.5e-137
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.6,1.2e-139,3.3e-136
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.7,2.8e-137,6.5e-134
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.3,2.6e-127,5.3e-124
UTY|7404,ENSG00000183878,UTY,7404,Y,8,9.9e-120,1.8e-116
PRKY|5616,ENSG00000099725,PRKY,5616,Y,7.2,5e-119,8.3e-116
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.6,2.1e-117,3.1e-114
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.9,8.7e-111,1.2e-107
CYorf15B|84663,NA,NA,NA,NA,7.5,1.9e-108,2.4e-105
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.7,6.1e-107,7.2e-104
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.6,1.6e-68,1.8e-65
NCRNA00185|55410,NA,NA,NA,NA,4.4,2.8e-52,2.9e-49
TTTY14|83869,NA,NA,NA,NA,2.9,1.3e-34,1.3e-31
NCRNA00230B|401629,NA,NA,NA,NA,3.5,5.9e-31,5.4e-28
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.43,4e-14,3.4e-11
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.58,3.8e-13,3.1e-10
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.44,4.7e-10,3.7e-07
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.38,8.7e-10,6.5e-07
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.32,1e-08,7.2e-06
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.56,7.5e-08,5.2e-05
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.3,4e-07,0.00026
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.3,1.4e-06,0.00089
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.25,3.1e-06,0.0019
DDX43|55510,ENSG00000080007,DDX43,55510,6,1.4,4.2e-06,0.0025
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.49,4.4e-06,0.0025
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.51,4.9e-06,0.0027
CARD10|29775,ENSG00000100065,CARD10,29775,22,-0.73,9.6e-06,0.0051
FRG1B|284802,NA,NA,NA,NA,0.33,3.9e-05,0.02
SPRY3|10251,ENSG00000168939,SPRY3,10251,X,0.44,4.8e-05,0.024
LRRC6|23639,ENSG00000129295,LRRC6,23639,8,0.79,5.7e-05,0.028
MACROD2|140733,ENSG00000172264,MACROD2,140733,20,1.1,8e-05,0.038
