BCORL2|286554,1.86378489784955,3.16387326997325e-40,3.85478409530366e-37,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.67033298135545,1.55610158357017e-69,7.58366106752921e-66,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.65093235824642,8.685362097779e-67,2.8218741455684e-63,NA,NA,NA,NA
DAZ1|1617,1.42809406914355,4.75419275063262e-22,4.21264697640147e-19,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.62858078950904,1.30306278172282e-46,1.81442184763605e-43,ENSG00000067048,DDX3Y,8653,Y
DDX43|55510,0.631143801517746,1.30748273238718e-05,0.00542299327343739,ENSG00000080007,DDX43,55510,6
EIF1AY|9086,3.85890216612518,4.52336544565583e-56,8.81784859976147e-53,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,1.36181114097631,1.65399678119697e-15,1.11182804319496e-12,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,3.74746110726534,2.20066546889069e-50,3.29998251158116e-47,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.73851723240031,4.17199301593149e-57,9.0365368725076e-54,NA,NA,NA,NA
NCRNA00230B|401629,2.2825786679276,9.05076723902994e-33,8.82178282788248e-30,NA,NA,NA,NA
NLGN4Y|22829,3.11616962572435,1.92339177575738e-57,4.68682490957679e-54,ENSG00000165246,NLGN4Y,22829,Y
OOEP|441161,0.67095006825391,1.99373707357601e-05,0.00747421356005591,ENSG00000203907,OOEP,441161,6
PCDH11Y|83259,0.895221311032781,1.04564947259002e-16,7.54958919209997e-14,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,2.64412344229743,1.01149500113919e-42,1.31453890348049e-39,ENSG00000099725,PRKY,5616,Y
RPS4Y1|6192,3.52435388405935,9.87621172849756e-34,1.06959373019629e-30,ENSG00000129824,RPS4Y1,6192,Y
RPS4Y2|140032,0.60547856279231,4.31200023834117e-11,2.62681664519446e-08,ENSG00000280969,RPS4Y2,140032,Y
SRY|6736,1.10525460284544,7.1311431216035e-20,5.79227100052244e-17,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,1.43693526623986,3.62531591975119e-21,3.07269167563608e-18,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.16960711370274,6.44083828098726e-55,1.14143364954151e-51,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-3.07492561786337,4.64713961992065e-105,9.05913397507331e-101,ENSG00000270641,TSIX,9383,X
TTTY10|246119,0.743055132149385,5.27433623444359e-16,3.67206823408012e-13,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.00818491150433,1.80325310019781e-36,2.06780093736801e-33,NA,NA,NA,NA
TTTY15|64595,3.56373694355107,1.60255998955467e-76,1.04134348121262e-72,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.66470755727928,1.19896986102073e-54,1.94772653922818e-51,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.75845897593196,2.80649969615521e-64,7.81570072526424e-61,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.78635155651614,1.46660068387204e-96,1.42949568657008e-92,ENSG00000229807,XIST,7503,X
ZFY|7544,3.43236036386005,3.62559680574266e-69,1.41354768262295e-65,ENSG00000067646,ZFY,7544,Y
