,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
XIST|7503,ENSG00000229807,XIST,7503,X,-12,4.6e-97,7.7e-93
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6.5,8.6e-16,7.1e-12
FAM104A|84923,ENSG00000133193,FAM104A,84923,17,0.82,5.2e-09,2.9e-05
PYY|5697,ENSG00000131096,PYY,5697,17,4.3,1.4e-08,5.6e-05
H3F3B|3021,ENSG00000132475,H3F3B,3021,17,0.98,2.4e-08,7.8e-05
MRPS23|51649,ENSG00000181610,MRPS23,51649,17,1.1,4.5e-08,1e-04
BAG3|9531,ENSG00000151929,BAG3,9531,10,1.2,4.5e-08,1e-04
SLC39A11|201266,ENSG00000282291,SLC39A11,201266,CHR_HSCHR17_9_CTG4,1.5,4.9e-08,1e-04
FOXK2|3607,ENSG00000141568,FOXK2,3607,17,0.94,9.2e-08,0.00017
ANPEP|290,ENSG00000166825,ANPEP,290,15,3,1.4e-07,0.00023
ST6GAL1|6480,ENSG00000073849,ST6GAL1,6480,3,-2.1,1.6e-07,0.00024
GPR88|54112,ENSG00000181656,GPR88,54112,1,2.9,2.8e-07,0.00039
CSNK1D|1453,ENSG00000141551,CSNK1D,1453,17,0.68,3.8e-07,0.00049
PABPC5|140886,ENSG00000174740,PABPC5,140886,X,2,7.5e-07,0.00084
EIF4A3|9775,ENSG00000141543,EIF4A3,9775,17,0.81,7.6e-07,0.00084
LLGL2|3993,ENSG00000073350,LLGL2,3993,17,1.3,8.5e-07,0.00088
SLC9A3R1|9368,ENSG00000109062,SLC9A3R1,9368,17,1.8,9.6e-07,0.00093
ARHGDIA|396,ENSG00000141522,ARHGDIA,396,17,0.88,1.1e-06,0.00093
ASAP3|55616,ENSG00000088280,ASAP3,55616,1,-1.1,1.1e-06,0.00093
MRPS7|51081,ENSG00000125445,MRPS7,51081,17,0.87,1.1e-06,0.00093
NMI|9111,ENSG00000123609,NMI,9111,2,-1.3,1.2e-06,0.00093
ANAPC11|51529,ENSG00000141552,ANAPC11,51529,17,1.2,1.2e-06,0.00093
ASS1|445,ENSG00000130707,ASS1,445,9,-2.6,1.4e-06,0.00099
