ALOX12P2|245,0.843907262662591,7.9373624943434e-09,6.43157868447901e-06,ENSG00000262943,ALOX12P2,245,17
ALOX15|246,0.574631637558691,0.000305553021253716,0.0383360619633613,ENSG00000161905,ALOX15,246,17
BEX1|55859,-0.902699414884131,3.03504311309743e-06,0.0012557975195831,ENSG00000133169,BEX1,55859,X
C21orf15|54094,0.582387919972597,6.74676625438041e-05,0.0131204363348936,NA,NA,NA,NA
CECR2|27443,0.512111172884679,0.00012899280381862,0.0210800256795018,ENSG00000099954,CECR2,27443,22
CUX2|23316,0.976364268818914,3.54182597968626e-17,5.29829921745835e-14,ENSG00000111249,CUX2,23316,12
CYP4F8|11283,0.764355904317746,4.35592846793499e-08,3.0253478898547e-05,ENSG00000186526,CYP4F8,11283,19
CYorf15A|246126,3.8575367747497,0,0,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.82135834518897,0,0,NA,NA,NA,NA
DDX3Y|8653,4.22725462135817,0,0,ENSG00000067048,DDX3Y,8653,Y
DSCAM|1826,0.895371069887139,0.000342925248935843,0.042208020987692,ENSG00000171587,DSCAM,1826,21
EDDM3B|64184,0.777245173084101,7.43657035225272e-05,0.0140406780233261,ENSG00000181552,EDDM3B,64184,14
EIF1AY|9086,4.15083778258299,0,0,ENSG00000198692,EIF1AY,9086,Y
EIF4E1B|253314,0.808586277420119,0.000102580887287124,0.0178115224560063,ENSG00000175766,EIF4E1B,253314,5
EYA4|2070,0.659780083319023,6.666813538615e-09,5.63693577762808e-06,ENSG00000112319,EYA4,2070,6
FAM75A6|389730,0.57057183880944,3.19877601860619e-05,0.00740554728974221,ENSG00000185775,SPATA31A6,389730,9
GAGE12D|100132399,1.01784321121949,1.65924474220534e-05,0.00442018253447497,ENSG00000227488,GAGE12D,100132399,X
GAGE12J|729396,0.898563363932083,1.14056812834028e-05,0.00336070127148991,ENSG00000224659,GAGE12J,729396,X
GAGE1|2543,1.13960212619952,1.11583783763513e-08,8.67987937139616e-06,ENSG00000205777,GAGE1,2543,X
GAGE2A|729447,0.813014774698017,1.0588279660544e-05,0.00321734803997812,ENSG00000189064,GAGE2A,729447,X
GAGE2D|729408,1.04717066400371,5.19066747811181e-06,0.00190458321597812,ENSG00000236362,GAGE12F,729408,X
GAGE4|2576,0.989505343018572,1.37048656325082e-05,0.00386258727471576,ENSG00000236362,GAGE12F,2576,X
GAGE8|100101629,0.889865011659439,2.79869912295687e-09,2.76017935954166e-06,ENSG00000189064,GAGE2A,100101629,X
GLDC|2731,0.695548069784024,8.19580072533728e-10,9.37551392386083e-07,ENSG00000178445,GLDC,2731,9
GLRA3|8001,0.649496648575228,0.000144912490594455,0.0229114894682144,ENSG00000145451,GLRA3,8001,4
GPR88|54112,0.902148656927289,1.5807808211811e-12,2.19581747353634e-09,ENSG00000181656,GPR88,54112,1
GRIA2|2891,0.869402365848381,2.69398249339902e-09,2.76017935954166e-06,ENSG00000120251,GRIA2,2891,4
GSTM1|2944,1.02770715447227,6.50969968754163e-06,0.00207531360366594,ENSG00000134184,GSTM1,2944,1
HORMAD2|150280,0.793959870049804,2.14261186813671e-07,0.000138891243332182,ENSG00000176635,HORMAD2,150280,22
KCTD19|146212,0.780764974043453,0.000201926216981271,0.028455501026339,ENSG00000168676,KCTD19,146212,16
KDM5D|8284,4.10916291921558,0,0,ENSG00000012817,KDM5D,8284,Y
MBL1P|8512,0.666146183660422,6.18921581098925e-05,0.0121577454420513,ENSG00000242600,MBL1P,8512,10
