ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.4,7.1e-23,1.2e-18
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.9,1.9e-21,1.3e-17
UTY|7404,ENSG00000183878,UTY,7404,Y,8.7,2.7e-21,1.3e-17
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,9,3.1e-21,1.3e-17
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.5,5.4e-21,1.8e-17
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.9,6.2e-20,1.7e-16
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,2.1e-18,5e-15
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8,3.1e-18,6.4e-15
CYorf15B|84663,NA,NA,NA,NA,8.2,1.2e-17,2.3e-14
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.2,1.5e-17,2.6e-14
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.8,3e-16,4.5e-13
TSIX|9383,ENSG00000270641,TSIX,9383,X,-10,2.1e-15,2.9e-12
XIST|7503,ENSG00000229807,XIST,7503,X,-12,2.1e-14,2.6e-11
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.2,5.5e-13,6.6e-10
