,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.4,1.7e-162,2.8e-158
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.1,4.1e-159,3.4e-155
XIST|7503,ENSG00000229807,XIST,7503,X,-11,8.3e-141,4.5e-137
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,7.6,3.5e-137,1.4e-133
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.7,1e-131,3.3e-128
UTY|7404,ENSG00000183878,UTY,7404,Y,7.9,1.1e-130,3.1e-127
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.4,1.3e-129,3e-126
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,10,3.4e-129,6.9e-126
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.9,3.6e-119,6.5e-116
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,5.1,2.8e-118,4.6e-115
CYorf15B|84663,NA,NA,NA,NA,7.1,8.9e-115,1.3e-111
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.5,1.1e-112,1.6e-109
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.4,6.4e-92,8e-89
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,6.1,2.6e-81,3.1e-78
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6,4.7e-77,5.2e-74
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.58,3.5e-25,3.6e-22
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.59,1.7e-19,1.6e-16
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.46,4e-16,3.6e-13
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.73,2.1e-15,1.8e-12
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.34,1.5e-14,1.2e-11
STS|412,ENSG00000101846,STS,412,X,-0.87,3.5e-14,2.7e-11
PRKX|5613,ENSG00000183943,PRKX,5613,X,-0.69,2.4e-13,1.8e-10
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.48,4.7e-13,3.4e-10
ARSD|414,ENSG00000006756,ARSD,414,X,-0.66,5.7e-12,3.9e-09
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.44,2.9e-11,1.9e-08
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.44,3.2e-11,2e-08
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.39,4.2e-10,2.5e-07
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.39,5.1e-09,3e-06
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.44,5.6e-09,3.1e-06
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.36,7.7e-09,4.2e-06
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.25,7.9e-08,4.2e-05
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.35,1.2e-07,6e-05
POF1B|79983,ENSG00000124429,POF1B,79983,X,-0.45,5.3e-07,0.00026
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.62,3.2e-06,0.0015
FRG1B|284802,NA,NA,NA,NA,0.48,5.4e-06,0.0025
CA5B|11238,ENSG00000169239,CA5B,11238,X,-0.36,2.3e-05,0.01
FLJ43663|378805,ENSG00000231721,LINC-PINT,378805,7,0.52,2.6e-05,0.012
VPS72|6944,ENSG00000163159,VPS72,6944,1,0.18,5.5e-05,0.023
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.3,5.9e-05,0.025
CXorf40B|541578,ENSG00000197021,CXorf40B,541578,X,0.22,7e-05,0.028
SEPT11|55752,ENSG00000138758,SEPT11,55752,4,-0.21,7.1e-05,0.028
GPKOW|27238,ENSG00000068394,GPKOW,27238,X,0.18,7.4e-05,0.028
TSSK6|83983,ENSG00000178093,TSSK6,83983,19,0.35,7.4e-05,0.028
ZNF26|7574,ENSG00000198393,ZNF26,7574,12,0.27,7.7e-05,0.029
MRPL9|65005,ENSG00000143436,MRPL9,65005,1,0.2,8.4e-05,0.031
LOC493754|493754,NA,NA,NA,NA,0.18,9.3e-05,0.033
APC|324,ENSG00000134982,APC,324,5,-0.31,1e-04,0.034
PPP2R3A|5523,ENSG00000073711,PPP2R3A,5523,3,-0.5,1e-04,0.034
CLSTN1|22883,ENSG00000171603,CLSTN1,22883,1,-0.26,1e-04,0.034
ZNF711|7552,ENSG00000147180,ZNF711,7552,X,-0.36,0.00011,0.035
ANKMY1|51281,ENSG00000144504,ANKMY1,51281,2,0.24,0.00012,0.037
C11orf24|53838,ENSG00000171067,C11orf24,53838,11,-0.21,0.00013,0.041
P2RY1|5028,ENSG00000169860,P2RY1,5028,3,-0.73,0.00013,0.041
CELSR3|1951,ENSG00000008300,CELSR3,1951,3,0.63,0.00014,0.042
CCT6P1|643253,NA,NA,NA,NA,0.31,0.00014,0.042
SDHA|6389,ENSG00000073578,SDHA,6389,5,-0.26,0.00016,0.045
KIF1C|10749,ENSG00000129250,KIF1C,10749,17,-0.28,0.00016,0.047
psiTPTE22|387590,ENSG00000100181,TPTEP1,387590,22,-0.68,0.00017,0.047
RNF113A|7737,ENSG00000125352,RNF113A,7737,X,0.25,0.00017,0.047
TIGD1|200765,ENSG00000221944,TIGD1,200765,2,0.38,0.00017,0.047
OFD1|8481,ENSG00000046651,OFD1,8481,X,-0.3,0.00018,0.048
B3GNT5|84002,ENSG00000176597,B3GNT5,84002,3,-0.27,0.00018,0.048
