BCORL2|286554,1.45850906050371,6.74955443077483e-48,8.64077958227794e-45,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.64962989721858,1.60780054237881e-72,2.8067812559364e-69,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.49657990566203,4.19294556464085e-77,1.00646417097248e-73,NA,NA,NA,NA
DAZ1|1617,1.05693736271794,6.80472334436039e-14,3.3505410867116e-11,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.68710101276764,1.1245110790596e-72,2.15939862511815e-69,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.81783882495098,2.91869968869417e-65,4.67064917683284e-62,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.68266069164335,1.26302619161698e-77,4.04231532627013e-74,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,1.91488087946396,1.66561211812589e-53,2.46036534649012e-50,NA,NA,NA,NA
NCRNA00230B|401629,0.546317764415128,4.83607083696021e-12,2.32167670705367e-09,NA,NA,NA,NA
NLGN4Y|22829,2.83403139770608,1.8633996896224e-136,3.57828642398189e-132,ENSG00000165246,NLGN4Y,22829,Y
PCDH11Y|83259,0.601910728845333,2.46482160016867e-15,1.31477692188997e-12,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,1.81639294694638,2.33185116902036e-47,2.79865862491862e-44,ENSG00000099725,PRKY,5616,Y
RBMY2EP|159125,0.706259256307588,1.92448903371351e-16,1.08694008571766e-13,ENSG00000223637,RBMY2EP,159125,Y
RPS4Y1|6192,3.39834121695261,3.68254509182419e-37,4.1597596116647e-34,ENSG00000129824,RPS4Y1,6192,Y
TBL1Y|90665,0.652282599367897,4.20433573644089e-11,1.92228236063986e-08,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.41117796185938,2.15876545421653e-77,5.92211043104573e-74,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.96737753495546,3.55964752623582e-74,7.59510127181183e-71,ENSG00000270641,TSIX,9383,X
TTTY14|83869,1.176099604469,1.3067850291471e-31,1.25470964573558e-28,NA,NA,NA,NA
TTTY15|64595,3.43230731639466,1.70835123538428e-87,1.09351562576948e-83,ENSG00000233864,TTTY15,64595,Y
TTTY2|60439,1.58643180167147,2.07004003047034e-32,2.09215677395379e-29,NA,NA,NA,NA
USP9Y|8287,3.57254966070152,1.10072757689343e-88,1.05686358295423e-84,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.65377604870467,8.56895039218936e-80,3.29099108762425e-76,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.91187430734343,9.05451244224298e-52,1.24195573163137e-48,ENSG00000229807,XIST,7503,X
ZFY|7544,3.26817062608901,1.85636435831671e-81,8.91194119318896e-78,ENSG00000067646,ZFY,7544,Y
