,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,9.7,1.9e-11,2.2e-07
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,10,3.2e-11,2.2e-07
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.3,4.1e-11,2.2e-07
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.9,1.1e-10,4.5e-07
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8,7.7e-10,2.4e-06
XIST|7503,ENSG00000229807,XIST,7503,X,-11,9.7e-10,2.6e-06
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.8,1.5e-09,3.5e-06
CYorf15B|84663,NA,NA,NA,NA,7.7,1.9e-09,3.8e-06
TSIX|9383,ENSG00000270641,TSIX,9383,X,-8.4,2.2e-09,3.9e-06
UTY|7404,ENSG00000183878,UTY,7404,Y,8.3,4.4e-09,6.1e-06
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6,4.4e-09,6.1e-06
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.4,4.6e-09,6.1e-06
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,5.6,9.1e-08,0.00011
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.1,1e-07,0.00012
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7,1.3e-07,0.00014
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-1.2,4.7e-05,0.047
