BCORL2|286554,2.28451500121891,6.46877125164262e-07,0.00184507838300424,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.55122052865721,1.35009566572089e-06,0.00235356721028571,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.38565175382365,8.44757285195439e-07,0.00210830299452652,NA,NA,NA,NA
DDX3Y|8653,2.91229912084876,2.78181931694343e-07,0.00138854511205231,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,4.03793298830515,2.2784533505078e-07,0.00138854511205231,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.54563426613962,1.41454505276112e-06,0.00235356721028571,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.3463696013599,3.02354687266388e-08,0.00060368136859607,NA,NA,NA,NA
NLGN4Y|22829,2.98611598293925,9.08262255823911e-08,0.000906718209989011,ENSG00000165246,NLGN4Y,22829,Y
PRKY|5616,1.78841912826575,1.04268420342871e-06,0.00211306168412843,ENSG00000099725,PRKY,5616,Y
TMSB4Y|9087,2.81582672467786,4.20808367536567e-07,0.00140030997770585,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-3.05714334859758,4.74437197655082e-06,0.00631507539225424,ENSG00000270641,TSIX,9383,X
TTTY15|64595,3.18197666848604,1.78915248460189e-06,0.00255158703625438,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.55411921819067,3.89397549566233e-07,0.00140030997770585,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.37193116478611,1.72391051615029e-06,0.00255158703625438,ENSG00000183878,UTY,7404,Y
ZFY|7544,3.09124331577385,1.05833000306944e-06,0.00211306168412843,ENSG00000067646,ZFY,7544,Y
