,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
UTY|7404,ENSG00000183878,UTY,7404,Y,8.4,1.8e-121,2.9e-117
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.9,9.3e-118,6.2e-114
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,8.5,1.1e-117,6.2e-114
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.2,2e-117,8.5e-114
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,8.8,8.2e-111,2.8e-107
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,6.6,9.1e-110,2.5e-106
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.8,2.3e-108,5.4e-105
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.5,5.1e-108,1.1e-104
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.4,2.4e-104,4.4e-101
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.7,1.6e-97,2.6e-94
XIST|7503,ENSG00000229807,XIST,7503,X,-8.5,2.3e-89,3.4e-86
CYorf15B|84663,NA,NA,NA,NA,6.9,1.7e-85,2.4e-82
NCRNA00185|55410,NA,NA,NA,NA,5.8,3.9e-84,5e-81
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.1,2.5e-78,3e-75
TSIX|9383,ENSG00000270641,TSIX,9383,X,-7,1.2e-61,1.4e-58
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.3,6.4e-58,6.7e-55
TTTY14|83869,NA,NA,NA,NA,3.9,3.9e-52,3.8e-49
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.71,3.3e-18,3e-15
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.68,1.4e-17,1.3e-14
PCDH11Y|83259,ENSG00000099715,PCDH11Y,83259,Y,2.9,3.9e-16,3.2e-13
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.58,1.3e-13,1e-10
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.53,5.8e-13,4.4e-10
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.48,8.8e-12,6.4e-09
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.44,3.9e-09,2.6e-06
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.55,3.9e-09,2.6e-06
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.36,5.2e-08,3.3e-05
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.52,9.8e-07,0.00061
FRG1B|284802,NA,NA,NA,NA,0.79,1.1e-06,0.00063
DAZ1|1617,ENSG00000205916,DAZ4,1617,Y,2.4,1.4e-06,0.00078
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.26,4.3e-06,0.0024
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.4,7.5e-06,0.0041
STS|412,ENSG00000101846,STS,412,X,-0.45,2.4e-05,0.012
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.26,3.2e-05,0.016
GEMIN8|54960,ENSG00000046647,GEMIN8,54960,X,-0.36,3.3e-05,0.016
TXLNG|55787,ENSG00000086712,TXLNG,55787,X,-0.48,4.5e-05,0.021
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.34,5.6e-05,0.026
