ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9,2.1e-209,3.4e-205
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.5,2.3e-199,1.9e-195
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,9.7,1.5e-193,8.1e-190
XIST|7503,ENSG00000229807,XIST,7503,X,-9.8,4.1e-189,1.7e-185
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8,3.1e-179,1e-175
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,7.7,2.4e-165,6.7e-162
UTY|7404,ENSG00000183878,UTY,7404,Y,7.6,8.9e-164,2.1e-160
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.3,3.5e-159,7.2e-156
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7,1.9e-157,3.6e-154
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.5,4.3e-147,7.1e-144
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.5,2.9e-142,4.4e-139
CYorf15B|84663,NA,NA,NA,NA,6.1,8.2e-131,1.1e-127
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.2,1.3e-125,1.7e-122
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6,7.8e-120,9.3e-117
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,4.4,7.4e-84,8.2e-81
NCRNA00185|55410,NA,NA,NA,NA,3.2,4e-55,4.1e-52
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.52,1.2e-27,1.2e-24
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.61,1.3e-26,1.2e-23
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.65,4e-23,3.5e-20
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.49,1.3e-20,1.1e-17
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.65,3.2e-20,2.5e-17
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.39,2.1e-17,1.6e-14
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.54,2.6e-17,1.9e-14
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.59,8.1e-13,5.6e-10
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.42,3e-12,2e-09
FAM64A|54478,ENSG00000129195,FAM64A,54478,17,0.79,4.3e-12,2.7e-09
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.34,1.2e-11,7.6e-09
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.55,1.5e-11,8.8e-09
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.45,3.1e-11,1.8e-08
ZNF232|7775,ENSG00000167840,ZNF232,7775,17,0.48,1.2e-10,6.6e-08
MYD88|4615,ENSG00000172936,MYD88,4615,3,-0.43,1.2e-10,6.6e-08
PDCD6IP|10015,ENSG00000170248,PDCD6IP,10015,3,-0.36,3.6e-10,1.9e-07
FRG1B|284802,NA,NA,NA,NA,0.47,1.1e-09,5.3e-07
SLC25A42|284439,ENSG00000181035,SLC25A42,284439,19,0.56,3.4e-09,1.6e-06
ACBD7|414149,ENSG00000176244,ACBD7,414149,10,1.1,3.4e-09,1.6e-06
IQCD|115811,ENSG00000166578,IQCD,115811,12,0.62,4.3e-09,2e-06
PDXP|57026,ENSG00000241360,PDXP,57026,22,0.49,4.5e-09,2e-06
HSPBAP1|79663,ENSG00000169087,HSPBAP1,79663,3,0.39,8.1e-09,3.6e-06
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.39,1.2e-08,5e-06
LNP1|348801,ENSG00000206535,LNP1,348801,3,0.53,1.7e-08,7e-06
C18orf18|147525,NA,NA,NA,NA,0.71,2e-08,7.9e-06
POLG2|11232,ENSG00000256525,POLG2,11232,17,0.37,2e-08,8e-06
TCAM1P|146771,ENSG00000240280,TCAM1P,146771,17,1.7,2.2e-08,8.4e-06
ACAA1|30,ENSG00000060971,ACAA1,30,3,-0.36,2.4e-08,9.2e-06
NCRNA00116|205251,NA,NA,NA,NA,0.67,2.6e-08,9.6e-06
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.38,2.7e-08,9.7e-06
ZNF594|84622,ENSG00000180626,ZNF594,84622,17,0.62,3.1e-08,1.1e-05
SYT17|51760,ENSG00000103528,SYT17,51760,16,0.96,3.2e-08,1.1e-05
CCDC52|152185,ENSG00000163611,SPICE1,152185,3,0.44,3.3e-08,1.1e-05
SLC45A4|57210,ENSG00000022567,SLC45A4,57210,8,0.57,3.8e-08,1.3e-05
PYCR1|5831,ENSG00000183010,PYCR1,5831,17,0.72,4.4e-08,1.4e-05
C2orf77|129881,ENSG00000154479,CCDC173,129881,2,0.71,4.6e-08,1.5e-05
CBS|875,ENSG00000160200,CBS,875,21,1.1,4.7e-08,1.5e-05
METTL4|64863,ENSG00000101574,METTL4,64863,18,0.38,6e-08,1.9e-05
TXLNG|55787,ENSG00000086712,TXLNG,55787,X,-0.55,6.6e-08,2e-05
PLCD1|5333,ENSG00000187091,PLCD1,5333,3,-0.59,7.4e-08,2.2e-05
SCLY|51540,ENSG00000132330,SCLY,51540,2,0.34,7.6e-08,2.2e-05
TUBB2A|7280,ENSG00000137267,TUBB2A,7280,6,-0.72,8.3e-08,2.4e-05
CREB3L4|148327,ENSG00000143578,CREB3L4,148327,1,0.53,8.4e-08,2.4e-05
BOD1|91272,ENSG00000145919,BOD1,91272,5,0.31,8.6e-08,2.4e-05
IQCC|55721,ENSG00000160051,IQCC,55721,1,0.44,9.4e-08,2.6e-05
UNG|7374,ENSG00000076248,UNG,7374,12,0.32,9.6e-08,2.6e-05
