BCORL2|286554,1.44643805131515,8.02646896024725e-50,1.04970161062114e-46,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.4680618215343,1.62083034929592e-104,7.94895724053452e-101,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.24120162575179,1.20257790597933e-121,7.86365692719886e-118,NA,NA,NA,NA
DAZ1|1617,0.592290361414631,8.05827385008476e-07,0.000272550272615712,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.17730664601556,3.29738942361449e-53,4.62034916593181e-50,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.55182856191407,1.52985541411344e-87,3.75139670733291e-84,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.41679799097008,8.1521997347234e-79,1.59921702196069e-75,ENSG00000012817,KDM5D,8284,Y
MAGEA12|4111,-0.509680234455854,6.31597893795352e-06,0.00184926207202738,ENSG00000213401,MAGEA12,4111,X
NCRNA00185|55410,2.16770578459031,1.26582960744619e-71,1.9101368776363e-68,NA,NA,NA,NA
NCRNA00230B|401629,1.53607494469456,1.41168404252777e-28,1.10772023449069e-25,NA,NA,NA,NA
NLGN4Y|22829,3.04221338961777,4.18902193414494e-89,1.17394347545888e-85,ENSG00000165246,NLGN4Y,22829,Y
PRKY|5616,2.25628944876588,1.36845588564582e-49,1.67781244429463e-46,ENSG00000099725,PRKY,5616,Y
RPS4Y1|6192,2.78869533229728,2.82688216139666e-25,1.84849824533728e-22,ENSG00000129824,RPS4Y1,6192,Y
SRY|6736,1.72709664110786,2.02073023288556e-39,2.33180382226565e-36,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,1.34805604095732,2.64212276343918e-27,1.91964897223653e-24,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,2.76901066651581,9.38335229148418e-94,3.06788703170075e-90,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.76286373868086,4.52690163333571e-147,8.88042293411466e-143,ENSG00000270641,TSIX,9383,X
TTTY14|83869,1.52855505513445,9.52538888316926e-39,1.03810863178406e-35,NA,NA,NA,NA
TTTY15|64595,3.30284484056018,6.08430309025819e-104,2.3871154744319e-100,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.32634673835155,1.66996180003148e-77,2.9781491482925e-74,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.35710755814651,2.6297351504943e-79,5.73194604969407e-76,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.78657291086576,1.5762294651078e-141,1.54604467085098e-137,ENSG00000229807,XIST,7503,X
ZFY|7544,3.01903436990597,1.20501546450429e-72,1.96989903059839e-69,ENSG00000067646,ZFY,7544,Y
