,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,10,6.7e-22,1.1e-17
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,8.9,9e-21,7.2e-17
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.2,1.3e-19,6.8e-16
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.7,8.9e-18,3.6e-14
ZFY|7544,ENSG00000067646,ZFY,7544,Y,6.6,1.1e-16,3.5e-13
UTY|7404,ENSG00000183878,UTY,7404,Y,7.2,2.4e-15,6.6e-12
XIST|7503,ENSG00000229807,XIST,7503,X,-9.3,3.3e-15,7.6e-12
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,7.9,1.2e-14,2.4e-11
CYorf15B|84663,NA,NA,NA,NA,5.4,1.4e-14,2.4e-11
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,7.4,3.9e-14,6.3e-11
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,5.1,4.5e-13,6.5e-10
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,6,5e-13,6.6e-10
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,5.9,7.8e-13,9.7e-10
TSIX|9383,ENSG00000270641,TSIX,9383,X,-4.9,3.9e-09,4.4e-06
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,4.6,2.9e-08,3.2e-05
NCRNA00185|55410,NA,NA,NA,NA,3.6,2.5e-06,0.0025
NOX5|79400,ENSG00000255346,NOX5,79400,15,3.2,1.3e-05,0.012
SPESP1|246777,ENSG00000258484,SPESP1,246777,15,3.6,4.8e-05,0.043
