CYorf15A|246126,3.0304299111124,4.57411707879247e-11,1.74036006613896e-07,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.01953258943259,2.4745042783977e-14,4.70749693922378e-10,NA,NA,NA,NA
DDX3Y|8653,3.40541490939557,4.40758687794546e-10,7.62272116054858e-07,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.3143763199812,6.25743068813495e-08,8.92865586187526e-05,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.40900342565674,1.34921661680357e-09,2.13895807650593e-06,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.00229646264838,5.35593911964897e-06,0.00566063254512234,NA,NA,NA,NA
NLGN4Y|22829,2.09496127678006,3.41084703099313e-10,6.48879539176133e-07,ENSG00000165246,NLGN4Y,22829,Y
NOX5|79400,1.81550047666296,7.24274388584748e-06,0.00725189261496645,ENSG00000255346,NOX5,79400,15
PCDH11X|27328,1.1674198929727,4.1433346824897e-06,0.00463663523527553,ENSG00000102290,PCDH11X,27328,X
PCDH11Y|83259,1.79610116360615,1.06293334770984e-10,2.88874914383314e-07,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,2.59434024877631,1.56162143597415e-11,1.48541430989861e-07,ENSG00000099725,PRKY,5616,Y
RPS4Y1|6192,3.77208019383683,1.42315889117318e-07,0.000169213592160492,ENSG00000129824,RPS4Y1,6192,Y
TMSB4Y|9087,2.57668860770706,6.57070973855412e-08,8.92865586187526e-05,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.36274200246654,2.60160508726892e-10,6.00382129470538e-07,ENSG00000270641,TSIX,9383,X
TTTY15|64595,3.1012670915169,7.23123546752001e-11,2.29278372556834e-07,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.35279510033157,8.66124334335247e-08,0.000109847662242625,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.43980909306361,2.84032756793253e-10,6.00382129470538e-07,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.95196428938079,3.09894133968216e-11,1.74036006613896e-07,ENSG00000229807,XIST,7503,X
ZFY|7544,2.90554610533951,4.08488361598169e-11,1.74036006613896e-07,ENSG00000067646,ZFY,7544,Y
