,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.8,4.4e-224,7.4e-220
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.6,1.4e-220,1.1e-216
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.1,2.9e-218,1.6e-214
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7,1.7e-217,6.9e-214
UTY|7404,ENSG00000183878,UTY,7404,Y,8.2,1.5e-214,4.9e-211
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.4,4.6e-214,1.3e-210
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.3,2.8e-211,6.6e-208
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,10,1.7e-198,3.6e-195
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.6,2.9e-197,5.4e-194
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.8,5.8e-191,9.6e-188
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.2,4e-171,6.1e-168
CYorf15B|84663,NA,NA,NA,NA,6.9,4.3e-170,5.9e-167
XIST|7503,ENSG00000229807,XIST,7503,X,-10,6.1e-166,7.8e-163
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.2,2.5e-160,2.9e-157
TSIX|9383,ENSG00000270641,TSIX,9383,X,-5.9,1.1e-105,1.2e-102
NCRNA00185|55410,NA,NA,NA,NA,4.1,8.8e-94,9.1e-91
BCORL2|286554,ENSG00000215580,BCORP1,286554,Y,3,7.6e-82,7.4e-79
DAZ1|1617,ENSG00000205916,DAZ4,1617,Y,4.3,5.9e-58,5.4e-55
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.68,2.2e-44,1.9e-41
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.66,7.2e-43,5.9e-40
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.58,8.2e-37,6.5e-34
HAUS7|55559,ENSG00000213397,HAUS7,55559,X,1.4,1e-36,7.8e-34
DNAJB13|374407,ENSG00000187726,DNAJB13,374407,11,3.2,8.6e-34,6.2e-31
PCDH11X|27328,ENSG00000102290,PCDH11X,27328,X,1.6,2.3e-31,1.6e-28
TREX2|11219,ENSG00000183479,TREX2,11219,X,2,6.4e-31,4.3e-28
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.7,1.8e-29,1.1e-26
RAB42|115273,ENSG00000188060,RAB42,115273,1,2,1.5e-27,9.4e-25
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.45,2.5e-24,1.5e-21
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.51,3.4e-24,1.9e-21
ARSD|414,ENSG00000006756,ARSD,414,X,-0.5,3.8e-22,2.1e-19
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.55,1.3e-20,6.7e-18
PROM1|8842,ENSG00000007062,PROM1,8842,4,3.1,1.5e-20,7.9e-18
SLC22A13|9390,ENSG00000172940,SLC22A13,9390,3,-2.1,3.5e-19,1.8e-16
CCDC146|57639,ENSG00000135205,CCDC146,57639,7,1.8,3.6e-19,1.8e-16
RNASET2|8635,ENSG00000026297,RNASET2,8635,6,1.2,1.2e-18,5.9e-16
C10orf99|387695,ENSG00000188373,C10orf99,387695,10,2.9,1.8e-18,8.2e-16
RERG|85004,ENSG00000134533,RERG,85004,12,0.96,2.6e-18,1.2e-15
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.4,2.8e-17,1.2e-14
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.48,1.2e-15,5e-13
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.31,1.5e-15,6.3e-13
CDHR1|92211,ENSG00000148600,CDHR1,92211,10,2.1,4.5e-15,1.8e-12
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.3,4.7e-15,1.9e-12
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.37,7e-14,2.7e-11
ODZ4|26011,ENSG00000149256,TENM4,26011,11,1.2,3.2e-13,1.2e-10
LOC399959|399959,NA,NA,NA,NA,0.87,4e-13,1.5e-10
UQCRH|7388,ENSG00000173660,UQCRH,7388,1,-0.61,2.5e-12,8.9e-10
UQCRHL|440567,ENSG00000233954,UQCRHL,440567,1,-0.6,4.7e-12,1.7e-09
SPESP1|246777,ENSG00000258484,SPESP1,246777,15,1.2,1.6e-11,5.5e-09
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.37,1.8e-11,6.1e-09
BTG3|10950,ENSG00000154640,BTG3,10950,21,0.59,1.8e-11,6.1e-09
FRG1B|284802,NA,NA,NA,NA,0.4,2.1e-11,7e-09
GPR143|4935,ENSG00000101850,GPR143,4935,X,1.6,2.4e-11,7.6e-09
C21orf7|56911,ENSG00000156265,MAP3K7CL,56911,21,0.76,4e-11,1.3e-08
KSR2|283455,ENSG00000171435,KSR2,283455,12,1.3,4.8e-11,1.5e-08
SLC13A2|9058,ENSG00000007216,SLC13A2,9058,17,-1.5,1.1e-10,3.3e-08
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.33,1.6e-10,4.8e-08
ANKRD43|134548,ENSG00000198944,SOWAHA,134548,5,1.5,1.8e-10,5.3e-08
CTHRC1|115908,ENSG00000164932,CTHRC1,115908,8,1.1,2.1e-10,5.9e-08
LOC153328|153328,ENSG00000145832,SLC25A48,153328,5,-1.3,3.1e-10,8.6e-08
JPH2|57158,ENSG00000149596,JPH2,57158,20,0.82,3.2e-10,8.8e-08
HRH1|3269,ENSG00000196639,HRH1,3269,3,0.59,3.8e-10,1e-07
FANCC|2176,ENSG00000158169,FANCC,2176,9,-0.47,3.8e-10,1e-07
CXCL5|6374,ENSG00000163735,CXCL5,6374,4,1.9,4.7e-10,1.2e-07
ZNF702P|79986,ENSG00000242779,ZNF702P,79986,19,0.68,4.8e-10,1.2e-07
PLEK2|26499,ENSG00000100558,PLEK2,26499,14,0.72,5.1e-10,1.3e-07
FRMPD1|22844,ENSG00000070601,FRMPD1,22844,9,-0.97,5.3e-10,1.3e-07
RPL39L|116832,ENSG00000163923,RPL39L,116832,3,0.63,6.1e-10,1.5e-07
PRIMA1|145270,ENSG00000175785,PRIMA1,145270,14,2,6.4e-10,1.6e-07
ZNF541|84215,ENSG00000118156,ZNF541,84215,19,0.95,6.6e-10,1.6e-07
PGBD5|79605,NA,NA,NA,NA,-0.88,7.9e-10,1.9e-07
