,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
XIST|7503,ENSG00000229807,XIST,7503,X,-11,1.2e-89,2e-85
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,8.8,1.9e-86,1.5e-82
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,7.5,1.1e-84,5.9e-81
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,7.7,2.3e-84,9.5e-81
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,6.4,2.3e-63,7.5e-60
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6.7,1e-61,2.9e-58
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,6.1,2.8e-61,6.6e-58
ZFY|7544,ENSG00000067646,ZFY,7544,Y,5.1,1e-58,2.1e-55
UTY|7404,ENSG00000183878,UTY,7404,Y,5.7,4.3e-58,7.9e-55
CYorf15B|84663,NA,NA,NA,NA,5.4,2e-56,3.3e-53
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,5.2,2.7e-52,4e-49
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,4.5,1.8e-51,2.4e-48
PRKY|5616,ENSG00000099725,PRKY,5616,Y,3.6,3.7e-46,4.7e-43
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,3.3,3.3e-34,3.9e-31
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,3.7,3.9e-28,4.3e-25
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.68,5.6e-28,5.8e-25
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.71,3e-22,2.9e-19
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.69,3.9e-22,3.6e-19
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.65,1.2e-20,1e-17
SLC2A9|56606,ENSG00000109667,SLC2A9,56606,4,1.9,1.9e-18,1.6e-15
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.73,4.4e-18,3.4e-15
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.5,8.7e-17,6.5e-14
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.76,1.6e-16,1.2e-13
NLRP6|171389,ENSG00000174885,NLRP6,171389,11,2.4,2e-16,1.4e-13
SLC16A2|6567,ENSG00000147100,SLC16A2,6567,X,-1.5,2.4e-16,1.6e-13
C1orf186|440712,ENSG00000263961,C1orf186,440712,1,2.2,1.9e-15,1.2e-12
FUNDC1|139341,ENSG00000069509,FUNDC1,139341,X,-0.54,2.9e-15,1.7e-12
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.56,3.4e-15,2e-12
FAM155A|728215,ENSG00000204442,FAM155A,728215,13,-2.9,4e-15,2.3e-12
AOX1|316,ENSG00000138356,AOX1,316,2,2.7,5.7e-15,3.1e-12
MSH6|2956,ENSG00000116062,MSH6,2956,2,-0.53,3.2e-14,1.7e-11
ARSD|414,ENSG00000006756,ARSD,414,X,-0.58,3.6e-14,1.9e-11
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.95,3.9e-14,2e-11
SLC22A5|6584,ENSG00000197375,SLC22A5,6584,5,0.93,1.2e-13,5.9e-11
OSBPL6|114880,ENSG00000079156,OSBPL6,114880,2,-1.7,1.5e-13,7e-11
RBBP7|5931,ENSG00000102054,RBBP7,5931,X,-0.41,2.3e-13,1.1e-10
ANPEP|290,ENSG00000166825,ANPEP,290,15,2.6,5.1e-13,2.3e-10
STS|412,ENSG00000101846,STS,412,X,-0.81,5.4e-13,2.3e-10
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.57,6.2e-13,2.6e-10
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.56,7.9e-13,3.2e-10
ZMYND12|84217,ENSG00000066185,ZMYND12,84217,1,1.2,1e-12,4e-10
ACRBP|84519,ENSG00000111644,ACRBP,84519,12,1.3,2.1e-12,8.3e-10
