,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,12,5.7e-155,8.9e-151
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,12,2.7e-153,2.1e-149
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,13,2.1e-148,1.1e-144
UTY|7404,ENSG00000183878,UTY,7404,Y,11,2.3e-147,9e-144
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,11,9.2e-144,2.9e-140
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,11,5.5e-137,1.4e-133
CYorf15B|84663,NA,NA,NA,NA,11,3.6e-136,8.1e-133
ZFY|7544,ENSG00000067646,ZFY,7544,Y,9.8,3.3e-132,6.4e-129
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,10,5.4e-131,9.3e-128
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,8.9,1.5e-122,2.3e-119
PRKY|5616,ENSG00000099725,PRKY,5616,Y,8.4,3.5e-105,4.9e-102
XIST|7503,ENSG00000229807,XIST,7503,X,-14,2.5e-99,3.2e-96
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,6.5,3.8e-94,4.5e-91
BCORL2|286554,ENSG00000215580,BCORP1,286554,Y,5.9,8.6e-80,9.5e-77
NCRNA00185|55410,NA,NA,NA,NA,6.5,2e-78,2.1e-75
TSIX|9383,ENSG00000270641,TSIX,9383,X,-5.9,3.7e-70,3.6e-67
TTTY14|83869,NA,NA,NA,NA,3.8,4e-60,3.7e-57
TTTY10|246119,ENSG00000229236,TTTY10,246119,Y,5.2,1.2e-59,1e-56
PRKX|5613,ENSG00000183943,PRKX,5613,X,-0.75,1.6e-26,1.3e-23
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.57,1.1e-19,8.9e-17
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.66,1.8e-17,1.4e-14
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.6,3.7e-17,2.6e-14
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.61,6.8e-17,4.6e-14
KAL1|3730,ENSG00000011201,ANOS1,3730,X,2.7,1.2e-16,7.6e-14
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.59,1.4e-13,8.8e-11
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.68,4.2e-13,2.5e-10
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.45,2.8e-10,1.6e-07
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.67,1.4e-08,7.8e-06
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.37,1.2e-07,6.7e-05
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.63,2.6e-07,0.00013
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.31,4.3e-06,0.0021
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.29,8.3e-06,0.004
FUNDC1|139341,ENSG00000069509,FUNDC1,139341,X,-0.3,1.3e-05,0.006
SCARNA9L|100158262,ENSG00000254911,SCARNA9,100158262,11,-0.54,1.4e-05,0.0065
FRG1B|284802,NA,NA,NA,NA,0.49,3.5e-05,0.016
ARSD|414,ENSG00000006756,ARSD,414,X,-0.72,7e-05,0.03
CD24|100133941,ENSG00000272398,CD24,100133941,6,1.1,9.1e-05,0.038
BAG4|9530,ENSG00000156735,BAG4,9530,8,0.27,1e-04,0.041
