BCORL2|286554,3.46456901575735,2.06543979184771e-97,3.89211474375782e-93,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,4.3642522460898,6.49319369719639e-58,9.41213400230529e-55,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,4.39016905269147,9.2446825456325e-52,1.16137865259933e-48,NA,NA,NA,NA
DDX3Y|8653,4.39563508070415,2.23419402824723e-65,4.21011522682908e-62,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,4.24760885374367,1.37337338201835e-52,1.84856057219671e-49,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,0.929234911493317,6.23317222893037e-13,3.45464404358717e-10,ENSG00000169953,HSFY2,159119,Y
KAL1|3730,1.59138120000241,3.98167202527757e-18,2.52971198054021e-15,ENSG00000011201,ANOS1,3730,X
KDM5D|8284,4.45393307427524,5.93908741776674e-73,2.79790408250991e-69,ENSG00000012817,KDM5D,8284,Y
MAP7D2|256714,-0.600270522056801,5.77120547782462e-05,0.0217505192048254,ENSG00000184368,MAP7D2,256714,X
NCRNA00185|55410,3.53400429716714,5.97349068639487e-62,1.02331325904023e-58,NA,NA,NA,NA
NCRNA00230B|401629,1.00349079194645,2.70691525885632e-11,1.45740317536824e-08,NA,NA,NA,NA
NLGN4Y|22829,1.62482512644464,3.14853335930027e-23,2.4721234426106e-20,ENSG00000165246,NLGN4Y,22829,Y
PRKY|5616,2.09058276515638,3.69344350016486e-36,3.66311838511087e-33,ENSG00000099725,PRKY,5616,Y
RPS4Y1|6192,4.46150671783427,2.76268953945116e-67,6.50751521017721e-64,ENSG00000129824,RPS4Y1,6192,Y
SRY|6736,1.49824743918791,1.30097883222278e-21,9.80625804576239e-19,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,0.935652271567066,3.31341654181381e-08,1.60097490548563e-05,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.5919535632131,3.50862874537951e-93,3.30583000389657e-89,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.36443947699224,1.47912025845813e-35,1.39362710751925e-32,ENSG00000270641,TSIX,9383,X
TTTY10|246119,3.16413306127531,4.46585422129657e-67,9.35050632734585e-64,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.5809612037222,1.4447825978683e-59,2.26879027285251e-56,NA,NA,NA,NA
TTTY15|64595,4.05505555266687,2.46576315563853e-84,1.54882803016175e-80,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,4.32991854870928,1.37883401366599e-69,3.71182116478884e-66,ENSG00000114374,USP9Y,8287,Y
UTY|7404,4.24965810473548,9.95310008618419e-70,3.12593696706758e-66,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.71731749820566,4.02523087905145e-20,2.80931298832761e-17,ENSG00000229807,XIST,7503,X
XKRY2|353515,0.580135914615584,2.11449536129244e-05,0.00847777672089252,NA,NA,NA,NA
ZFY|7544,3.80856597247592,1.44192353008991e-70,5.43432140020286e-67,ENSG00000067646,ZFY,7544,Y
