,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.4,1.1e-168,1.8e-164
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.1,4.3e-166,3.5e-162
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,1.6e-157,8.4e-154
UTY|7404,ENSG00000183878,UTY,7404,Y,8,1e-143,4.2e-140
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,9,5.9e-140,1.9e-136
CYorf15B|84663,NA,NA,NA,NA,7.2,7.2e-137,1.9e-133
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.3,2.6e-132,6e-129
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.8,6.3e-130,1.3e-126
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.2,1.1e-127,2e-124
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,6.9,1.7e-113,2.7e-110
TSIX|9383,ENSG00000270641,TSIX,9383,X,-9.2,2.5e-111,3.6e-108
XIST|7503,ENSG00000229807,XIST,7503,X,-10,2.7e-101,3.6e-98
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,4.9,3.5e-93,4.3e-90
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,5.2,3e-90,3.5e-87
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,5.4,3.9e-80,4.2e-77
NCRNA00185|55410,NA,NA,NA,NA,4.3,1.9e-54,1.9e-51
TTTY14|83869,NA,NA,NA,NA,3.1,5.5e-38,5.2e-35
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.65,5.7e-25,5.1e-22
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.83,6.4e-21,5.4e-18
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.89,1.2e-19,9.4e-17
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.61,9.8e-18,7.5e-15
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.55,6.1e-16,4.5e-13
ABCB1|5243,ENSG00000085563,ABCB1,5243,7,1.8,2.7e-12,1.9e-09
ZFP14|57677,ENSG00000142065,ZFP14,57677,19,-0.62,6.3e-12,4.3e-09
SDCBP|6386,ENSG00000137575,SDCBP,6386,8,0.66,6.8e-12,4.4e-09
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.73,9.5e-12,5.9e-09
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.46,1.6e-11,9.5e-09
USP37|57695,ENSG00000135913,USP37,57695,2,-0.6,1.7e-11,9.5e-09
PSMC2|5701,ENSG00000161057,PSMC2,5701,7,0.36,2.1e-10,1.2e-07
ALDH1A1|216,ENSG00000165092,ALDH1A1,216,9,1.1,6.4e-10,3.5e-07
ACSS3|79611,ENSG00000111058,ACSS3,79611,12,1.6,1.1e-09,5.8e-07
GGH|8836,ENSG00000137563,GGH,8836,8,1,1.3e-09,6.6e-07
ZNF594|84622,ENSG00000180626,ZNF594,84622,17,-0.95,1.7e-09,8.5e-07
ST5|6764,ENSG00000166444,ST5,6764,11,-0.59,1.8e-09,8.6e-07
ZNF337|26152,ENSG00000130684,ZNF337,26152,20,-0.42,3.4e-09,1.5e-06
