ADCYAP1|116,0.532191801634229,4.98731758577129e-05,0.0110437555505614,ENSG00000141433,ADCYAP1,116,18
ASCL1|429,-0.536151271080298,1.53480826725544e-05,0.00441314645801134,ENSG00000139352,ASCL1,429,12
BCORL2|286554,1.69971648088893,2.76710943921418e-50,3.55389088976408e-47,ENSG00000215580,BCORP1,286554,Y
BPY2|9083,1.07841672969908,1.65152164660139e-16,1.15692594537421e-13,ENSG00000183753,BPY2,9083,Y
CEACAM6|4680,-0.571015484094505,7.61442455057884e-05,0.0159447705398806,ENSG00000086548,CEACAM6,4680,19
CST1|1469,0.756070147308302,1.30609602067813e-06,0.000513508976293146,ENSG00000170373,CST1,1469,20
CYorf15A|246126,3.52686653826668,2.04802414179268e-79,9.86379627290901e-76,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.48652769551747,4.37329402936968e-79,1.68503018951614e-75,NA,NA,NA,NA
DAZ1|1617,1.46832977079089,5.61671988900904e-19,4.50858786090663e-16,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.503408483656,7.27287155065534e-57,1.07778361864135e-53,ENSG00000067048,DDX3Y,8653,Y
DDX43|55510,0.57580894465614,0.000195846608696381,0.0328085644916155,ENSG00000080007,DDX43,55510,6
EIF1AY|9086,3.7797006069438,2.79868977431862e-51,3.85119703587487e-48,ENSG00000198692,EIF1AY,9086,Y
INSRR|3645,-0.512541391739882,8.63094625140313e-06,0.00286681344022899,ENSG00000027644,INSRR,3645,1
KDM5D|8284,3.60419888522188,1.12753111291689e-65,1.97471699003127e-62,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.53109795572169,1.91862859153225e-44,2.3101487384918e-41,NA,NA,NA,NA
NCRNA00230B|401629,1.18151958036462,8.23137233600823e-11,4.66404082509408e-08,NA,NA,NA,NA
NLGN4Y|22829,2.8279072554889,3.16244048540649e-68,6.0924415951356e-65,ENSG00000165246,NLGN4Y,22829,Y
NXF2|56001,0.555999296754498,1.10055647381476e-05,0.00353370341134022,ENSG00000269405,NXF2,56001,X
PRKY|5616,2.75970124645807,5.91802887920191e-99,1.14010826357825e-94,ENSG00000099725,PRKY,5616,Y
PRY2|442862,0.528482214062742,1.33184680419255e-07,6.10905444827847e-05,ENSG00000169807,PRY2,442862,Y
RBMY1A1|5940,0.952041010550015,8.79798633495339e-10,4.84266304979649e-07,ENSG00000234414,RBMY1A1,5940,Y
RBMY1J|378951,0.621267453184622,1.86453421000957e-06,0.000686450823093167,ENSG00000226941,RBMY1J,378951,Y
RBMY2FP|159162,0.888293927949189,3.36687182974495e-09,1.70691541579043e-06,ENSG00000243040,RBMY2FP,159162,Y
RPS4Y1|6192,3.27945160726019,5.31470618960673e-34,5.68821193015409e-31,ENSG00000129824,RPS4Y1,6192,Y
TBL1Y|90665,1.32144991628733,1.68149112226721e-16,1.15692594537421e-13,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,2.97596412346406,1.03769951117905e-76,3.33188018047741e-73,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-3.13764293115528,3.64903791436308e-83,3.51493577101024e-79,ENSG00000270641,TSIX,9383,X
TSPY1|7258,0.520805216054122,3.12401752779356e-05,0.00771592277858242,ENSG00000258992,TSPY1,7258,Y
TSPY2|64591,0.739195279691957,1.04853959659607e-06,0.000420835736008818,ENSG00000168757,TSPY2,64591,Y
TSPY3|728137,0.655033721654678,3.03962850782779e-06,0.00104568648577326,ENSG00000228927,TSPY3,728137,Y
TTTY10|246119,0.659738979417458,1.5315579466792e-12,8.9410496493257e-10,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.02634371123015,7.55967320992212e-33,7.66511075732367e-30,NA,NA,NA,NA
TTTY15|64595,3.12096440178982,1.00532010497317e-80,6.45583060743605e-77,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.51591364752535,3.08951027438146e-75,8.50277363370842e-72,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.65754723613212,1.85794800276591e-72,3.97704091925393e-69,ENSG00000183878,UTY,7404,Y
VCY|9084,1.0117957250993,1.44878271791626e-09,7.75299973907135e-07,ENSG00000129864,VCY,9084,Y
XIST|7503,-2.35629682202459,3.06026019277561e-59,4.91299271781851e-56,ENSG00000229807,XIST,7503,X
ZFY|7544,3.33319654213312,6.35919773662925e-75,1.53137430495203e-71,ENSG00000067646,ZFY,7544,Y
