ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.8,4.7e-303,7.99999999999999e-299
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.8,2.1e-294,1.7e-290
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.9,1.3e-287,7.2e-284
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,9,5.2e-283,2.2e-279
UTY|7404,ENSG00000183878,UTY,7404,Y,8.5,5.9e-280,2e-276
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.1,3.9e-273,1.1e-269
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,2.4e-265,5.9e-262
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8.1,3.7e-264,7.7e-261
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.6,7e-259,1.3e-255
CYorf15B|84663,NA,NA,NA,NA,7.8,1.7e-234,2.9e-231
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.2,1.8e-212,2.8e-209
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.5,1e-204,1.5e-201
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.3,2.5e-182,3.3e-179
XIST|7503,ENSG00000229807,XIST,7503,X,-10,3.3e-182,4e-179
NCRNA00185|55410,NA,NA,NA,NA,4.7,1.7e-137,2e-134
TSIX|9383,ENSG00000270641,TSIX,9383,X,-5.9,1.1e-117,1.1e-114
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.55,5.9e-26,5.9e-23
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.52,8.5e-26,8e-23
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.52,5.4e-21,4.8e-18
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.43,1.6e-19,1.4e-16
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.66,1.6e-17,1.3e-14
STS|412,ENSG00000101846,STS,412,X,-0.84,2.9e-15,2.2e-12
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.41,3.4e-15,2.5e-12
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.33,7.9e-15,5.4e-12
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.39,8e-15,5.4e-12
ARSD|414,ENSG00000006756,ARSD,414,X,-0.67,1.2e-14,7.7e-12
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.41,4.4e-14,2.7e-11
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.51,2.9e-10,1.7e-07
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.38,1e-09,5.8e-07
CA5B|11238,ENSG00000169239,CA5B,11238,X,-0.35,8.8e-09,5e-06
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.26,3e-08,1.6e-05
MEGF11|84465,ENSG00000277848,MEGF11,84465,CHR_HSCHR15_2_CTG8,-1.2,2e-07,1e-04
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.27,2.2e-07,0.00011
RTN4R|65078,ENSG00000040608,RTN4R,65078,22,-0.53,2.3e-07,0.00012
IFNAR2|3455,ENSG00000159110,IFNAR2,3455,21,-0.33,2.5e-07,0.00012
CA10|56934,ENSG00000154975,CA10,56934,17,-1.5,2.6e-07,0.00012
FUNDC1|139341,ENSG00000069509,FUNDC1,139341,X,-0.28,2.7e-07,0.00012
DDX43|55510,ENSG00000080007,DDX43,55510,6,1.3,2.9e-07,0.00013
EGFR|1956,ENSG00000146648,EGFR,1956,7,-0.71,3e-07,0.00013
SPESP1|246777,ENSG00000258484,SPESP1,246777,15,0.92,3.1e-07,0.00013
SHISA3|152573,ENSG00000178343,SHISA3,152573,4,-1.4,4.6e-07,0.00019
ZNF737|100129842,ENSG00000237440,ZNF737,100129842,19,-0.58,6.5e-07,0.00026
FRG1B|284802,NA,NA,NA,NA,0.35,7.2e-07,0.00028
CYP21A2|1589,ENSG00000231852,CYP21A2,1589,6,-0.73,9.1e-07,0.00033
ARHGDIB|397,ENSG00000111348,ARHGDIB,397,12,-0.4,9.1e-07,0.00033
NDUFS1|4719,ENSG00000023228,NDUFS1,4719,2,0.24,9.2e-07,0.00033
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.29,9.2e-07,0.00033
ZNF682|91120,ENSG00000197124,ZNF682,91120,19,-0.73,9.8e-07,0.00034
SEPT6|23157,ENSG00000125354,SEPT6,23157,X,-0.33,1e-06,0.00034
SLC5A1|6523,ENSG00000100170,SLC5A1,6523,22,-1.4,1.1e-06,0.00035
KLHL29|114818,ENSG00000119771,KLHL29,114818,2,-0.61,1.1e-06,0.00036
TXLNG|55787,ENSG00000086712,TXLNG,55787,X,-0.34,1.3e-06,0.00043
COL8A2|1296,ENSG00000171812,COL8A2,1296,1,-0.6,1.6e-06,0.00052
C6orf123|26238,ENSG00000146521,LINC01558,26238,6,-0.58,1.9e-06,0.00058
C4A|720,ENSG00000227746,C4A,720,CHR_HSCHR6_MHC_MCF_CTG1,-0.65,2.1e-06,0.00063
OFD1|8481,ENSG00000046651,OFD1,8481,X,-0.28,2.2e-06,0.00066
DUSP9|1852,ENSG00000130829,DUSP9,1852,X,-1.1,2.4e-06,0.00072
INSL4|3641,ENSG00000120211,INSL4,3641,9,1.5,2.6e-06,0.00076
CLEC4F|165530,ENSG00000152672,CLEC4F,165530,2,-0.83,2.7e-06,0.00078
CLDN9|9080,ENSG00000213937,CLDN9,9080,16,-0.94,2.8e-06,0.00079
ZNF486|90649,ENSG00000256229,ZNF486,90649,19,-0.87,3.3e-06,0.00089
ADAMTS17|170691,ENSG00000140470,ADAMTS17,170691,15,-0.63,3.3e-06,0.00089
AGMAT|79814,ENSG00000116771,AGMAT,79814,1,0.56,3.4e-06,0.00091
USP2|9099,ENSG00000036672,USP2,9099,11,-0.67,3.6e-06,0.00095
HLA-DQB2|3120,ENSG00000232629,HLA-DQB2,3120,6,-0.91,4e-06,0.001
MEOX1|4222,ENSG00000005102,MEOX1,4222,17,-0.66,4.2e-06,0.0011
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.2,4.9e-06,0.0012
SLC6A20|54716,ENSG00000163817,SLC6A20,54716,3,-1.1,5e-06,0.0012
CXorf38|159013,ENSG00000185753,CXorf38,159013,X,-0.22,5.7e-06,0.0014
ZNF85|7639,ENSG00000105750,ZNF85,7639,19,-0.41,5.9e-06,0.0014
RIMBP3C|150221,ENSG00000183246,RIMBP3C,150221,22,-0.5,6e-06,0.0014
PCSK1N|27344,ENSG00000102109,PCSK1N,27344,X,-1.1,6.2e-06,0.0014
CYTH3|9265,ENSG00000008256,CYTH3,9265,7,-0.42,6.8e-06,0.0016
CX3CL1|6376,ENSG00000006210,CX3CL1,6376,16,-0.7,7e-06,0.0016
C21orf122|728039,ENSG00000235374,SSR4P1,728039,21,-0.36,7.2e-06,0.0016
LOC400794|400794,ENSG00000237463,,400794,1,-0.93,7.6e-06,0.0017
CD83|9308,ENSG00000112149,CD83,9308,6,-0.42,8.1e-06,0.0018
GDPD5|81544,ENSG00000158555,GDPD5,81544,11,-0.41,8.9e-06,0.0019
