ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.9,8.7e-209,1.5e-204
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.2,8.3e-203,7.1e-199
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,10,3.3e-199,1.9e-195
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8,4.6e-177,1.9e-173
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.2,5.1e-169,1.7e-165
XIST|7503,ENSG00000229807,XIST,7503,X,-10,7.1e-160,1.8e-156
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.2,7.2e-160,1.8e-156
UTY|7404,ENSG00000183878,UTY,7404,Y,7.9,1.5e-158,3.2e-155
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.3,1.3e-152,2.4e-149
CYorf15B|84663,NA,NA,NA,NA,6.7,3.4e-147,5.8e-144
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.3,8.3e-128,1.3e-124
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.1,1.6e-122,2.3e-119
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6.2,3e-122,3.9e-119
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.8,8e-101,9.7e-98
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,4.9,4.5e-81,5.1e-78
NCRNA00185|55410,NA,NA,NA,NA,3.3,2.6e-57,2.7e-54
BCORL2|286554,ENSG00000215580,BCORP1,286554,Y,2.8,8.9e-54,8.9e-51
NCRNA00230B|401629,NA,NA,NA,NA,2.9,8.9e-29,8.4e-26
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.58,3.3e-17,2.9e-14
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.48,1.9e-14,1.6e-11
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.36,2.9e-14,2.4e-11
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.4,2.9e-13,2.2e-10
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.47,7.7e-12,5.7e-09
CA5B|11238,ENSG00000169239,CA5B,11238,X,-0.54,4.1e-11,2.9e-08
STS|412,ENSG00000101846,STS,412,X,-0.76,1.3e-10,9e-08
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.36,8.6e-10,5.6e-07
CXorf38|159013,ENSG00000185753,CXorf38,159013,X,-0.34,1.4e-09,8.6e-07
