BCORL2|286554,2.29416128079017,1.55340182800808e-89,7.60739710221255e-86,ENSG00000215580,BCORP1,286554,Y
CYorf15A|246126,3.56503996610828,1.0748565234317e-88,4.21107288750071e-85,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.49178884134232,1.11730194336597e-118,1.0943413884298e-114,NA,NA,NA,NA
DAZ1|1617,1.1770234841591,9.35338268507113e-14,5.91043269089866e-11,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.43220788135049,2.78420335300211e-58,3.63598396546389e-55,ENSG00000067048,DDX3Y,8653,Y
DDX43|55510,0.723438865870889,5.07396302103269e-07,0.000191142041575018,ENSG00000080007,DDX43,55510,6
EIF1AY|9086,3.67944439682629,4.52756744719485e-84,1.26700741033e-80,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.56645403355198,3.7506092207201e-88,1.22451140041143e-84,ENSG00000012817,KDM5D,8284,Y
MAGEB2|4113,-0.757209256091452,3.5829650312604e-08,1.63224888365954e-05,ENSG00000099399,MAGEB2,4113,X
NCRNA00185|55410,2.49332653944591,5.06806116143376e-73,8.27318750761049e-70,NA,NA,NA,NA
NCRNA00230B|401629,2.13357947390792,5.32496593465912e-33,5.7950420941132e-30,NA,NA,NA,NA
NLGN4Y|22829,2.99489616486693,2.33590552443807e-73,4.15982302892885e-70,ENSG00000165246,NLGN4Y,22829,Y
OOEP|441161,0.684755794685248,2.34815475356315e-05,0.00657747868944046,ENSG00000203907,OOEP,441161,6
PCDH11Y|83259,0.587252197583533,1.15269071498401e-10,6.27223844883936e-08,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,1.81019673323354,6.11288421027585e-32,6.3023836207944e-29,ENSG00000099725,PRKY,5616,Y
RBMY1A1|5940,0.513533273552137,1.50395454536438e-06,0.000526088671234694,ENSG00000234414,RBMY1A1,5940,Y
RPS4Y1|6192,3.17886325759473,3.18939723715832e-45,3.9048189049184e-42,ENSG00000129824,RPS4Y1,6192,Y
SRY|6736,1.13465268016506,1.94119467490466e-17,1.46254086487336e-14,ENSG00000184895,SRY,6736,Y
TBL1Y|90665,2.01100932544648,5.49011596854995e-31,5.37729408539625e-28,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.13053296884918,1.3937866970703e-81,3.41286095111375e-78,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.82228637589275,2.03292214266201e-117,1.32743039508687e-113,ENSG00000270641,TSIX,9383,X
TTTY10|246119,0.686012312097973,1.58488335580576e-18,1.29359500236996e-15,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,1.72156164514646,1.66842167501644e-42,1.9225124818763e-39,NA,NA,NA,NA
TTTY15|64595,3.54755842017331,4.38312310844384e-68,6.13292846937902e-65,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.62257071661996,1.54388919421585e-71,2.32640349426879e-68,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.704124198563,4.49180629064736e-76,8.79899934274912e-73,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.69921967204343,5.3767735619392e-128,1.05325617304827e-123,ENSG00000229807,XIST,7503,X
ZFY|7544,3.09852364359592,4.20765129249191e-77,9.15818679651379e-74,ENSG00000067646,ZFY,7544,Y
