ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.7,6.5e-111,1.1e-106
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.7,1.8e-109,1.4e-105
UTY|7404,ENSG00000183878,UTY,7404,Y,8.4,2.5e-109,1.4e-105
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.7,2.4e-108,1e-104
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,1.5e-104,5.3e-101
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.8,1.9e-99,5.4e-96
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.1,1.2e-97,3e-94
ZFY|7544,ENSG00000067646,ZFY,7544,Y,7.6,2.5e-95,4.7e-92
CYorf15B|84663,NA,NA,NA,NA,7.7,2.5e-95,4.7e-92
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.6,2.3e-93,3.9e-90
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.2,3.5e-87,5.5e-84
XIST|7503,ENSG00000229807,XIST,7503,X,-11,1.3e-84,1.9e-81
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.5,3.1e-83,4.1e-80
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.7,1.9e-81,2.3e-78
NCRNA00185|55410,NA,NA,NA,NA,4.9,2.8e-73,3.2e-70
TSIX|9383,ENSG00000270641,TSIX,9383,X,-7.2,6.9e-52,7.3e-49
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.5,6e-21,6e-18
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.5,1.1e-17,1.1e-14
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.53,6.3e-17,5.7e-14
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.7,2e-15,1.7e-12
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.49,1e-12,8.5e-10
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.62,1.2e-12,9.4e-10
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.61,1.2e-11,8.8e-09
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.34,1.5e-10,1.1e-07
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.44,2.1e-10,1.4e-07
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.61,5e-10,3.3e-07
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.43,2.4e-09,1.5e-06
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.36,2.8e-08,1.7e-05
FUNDC1|139341,ENSG00000069509,FUNDC1,139341,X,-0.37,1.5e-07,9.1e-05
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.43,1.7e-07,9.5e-05
ARSD|414,ENSG00000006756,ARSD,414,X,-0.47,1.9e-06,0.0011
STS|412,ENSG00000101846,STS,412,X,-0.51,3e-05,0.016
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.26,4.4e-05,0.023
