,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8.3,6.3e-136,1e-131
UTY|7404,ENSG00000183878,UTY,7404,Y,8.8,9.4e-133,7.7e-129
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,9.9,9.4e-123,5.1e-119
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,10,1.7e-122,6.8e-119
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,10,1.8e-119,5.9e-116
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,8.7,2.1e-118,5.9e-115
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.5,5.2e-118,1.2e-114
CYorf15B|84663,NA,NA,NA,NA,7.6,4.9e-116,9.9e-113
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,11,6.6e-114,1.2e-110
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,5.8,6.7e-108,1.1e-104
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,1.6e-107,2.3e-104
NCRNA00185|55410,NA,NA,NA,NA,5.3,4.6e-96,6.3e-93
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.9,2.5e-90,3.1e-87
XIST|7503,ENSG00000229807,XIST,7503,X,-10,2.7e-89,3.2e-86
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.4,2.8e-87,3e-84
TSIX|9383,ENSG00000270641,TSIX,9383,X,-7.2,8.2e-43,8.4e-40
PCDH11Y|83259,ENSG00000099715,PCDH11Y,83259,Y,6.3,1.9e-36,1.8e-33
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.44,5.2e-16,4.7e-13
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.64,2.8e-13,2.4e-10
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.56,8e-11,6.5e-08
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.6,3.5e-09,2.7e-06
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.45,1.1e-08,7.8e-06
DHRSX|207063,ENSG00000169084,DHRSX,207063,X,0.38,2.1e-08,1.5e-05
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.52,2.7e-08,1.8e-05
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.43,3.5e-07,0.00023
PCDH11X|27328,ENSG00000102290,PCDH11X,27328,X,2.7,9.7e-07,0.00061
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.38,3.4e-06,0.0021
ANGPTL2|23452,ENSG00000136859,ANGPTL2,23452,9,0.98,1.1e-05,0.0062
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.32,3e-05,0.017
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.16,3.4e-05,0.019
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.24,8.8e-05,0.046
