ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,9.8,1.1e-30,1.8e-26
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,8e-28,3.8e-24
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,9.8,8.9e-28,3.8e-24
UTY|7404,ENSG00000183878,UTY,7404,Y,8.6,8.9e-28,3.8e-24
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.7,3.1e-27,1e-23
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,8.8,3.9e-27,1.1e-23
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.2,5.2e-26,1.3e-22
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,6.7,3.9e-25,8.3e-22
PRKY|5616,ENSG00000099725,PRKY,5616,Y,7.5,1.4e-24,2.6e-21
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,8.2,2e-24,3.4e-21
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,7.7,8.8e-23,1.3e-19
CYorf15B|84663,NA,NA,NA,NA,7.5,1.3e-22,1.9e-19
XIST|7503,ENSG00000229807,XIST,7503,X,-10,4.4e-20,5.8e-17
TSIX|9383,ENSG00000270641,TSIX,9383,X,-4.4,3.7e-11,4.5e-08
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,4.2,9.3e-11,1.1e-07
NCRNA00185|55410,NA,NA,NA,NA,3.8,8.3e-10,8.8e-07
DAZ1|1617,ENSG00000205916,DAZ4,1617,Y,7.2,2.2e-07,0.00022
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-1.1,3.5e-07,0.00033
DAZ2|57055,ENSG00000205944,DAZ2,57055,Y,4.8,5.7e-06,0.0051
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.76,2.1e-05,0.018
SLC35C2|51006,ENSG00000080189,SLC35C2,51006,20,0.61,3.2e-05,0.026
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.71,4.7e-05,0.036
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.73,6.4e-05,0.047
