AMELY|266,1.82536321099181,5.02328515016531e-119,5.06505773194037e-116,ENSG00000099721,AMELY,266,Y
BCORL2|286554,1.95318645826998,2.87010925035184e-106,2.61835966753526e-103,ENSG00000215580,BCORP1,286554,Y
C19orf77|284422,-0.516798176309398,2.11251841339187e-05,0.00218019028023576,ENSG00000095932,SMIM24,284422,19
CYorf15A|246126,3.91698273251877,3.6399950202624e-274,1.39470049196374e-270,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,3.85340480460302,7.49866148159265e-291,3.5914839166088e-287,NA,NA,NA,NA
DAZ1|1617,0.560146019157472,8.16424071280114e-24,3.40022877338792e-21,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.949774573599,5.52492319763967e-268,1.51209255171972e-264,ENSG00000067048,DDX3Y,8653,Y
DDX43|55510,0.576387087416464,2.05065917121625e-07,5.86366095554641e-05,ENSG00000080007,DDX43,55510,6
EIF1AY|9086,4.0801846709569,8.79703255622072e-271,2.80889249520128e-267,ENSG00000198692,EIF1AY,9086,Y
HSFY2|159119,1.12081841845688,6.44915808856457e-89,4.75203733310462e-86,ENSG00000169953,HSFY2,159119,Y
KDM5D|8284,4.07910015840537,3.68328411380167e-247,7.05643570522124e-244,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,3.49682887830162,1.73556819984425e-299,1.10833385242054e-295,NA,NA,NA,NA
NCRNA00230B|401629,1.65970060655007,7.82025205515388e-55,4.40648202566583e-52,NA,NA,NA,NA
NLGN4Y|22829,3.40649753523851,5.38892141446403e-252,1.14712173842558e-248,ENSG00000165246,NLGN4Y,22829,Y
OOEP|441161,0.526305715077049,4.0755046744249e-05,0.00321310775936758,ENSG00000203907,OOEP,441161,6
PCDH11Y|83259,1.42107922155106,7.95852743350329e-73,5.25756788176055e-70,ENSG00000099715,PCDH11Y,83259,Y
PRKY|5616,1.54154977221049,2.93050646657392e-131,3.50891518041395e-128,ENSG00000099725,PRKY,5616,Y
RPS4Y1|6192,3.88609797786827,5.78356557234537e-173,7.38676994899951e-170,ENSG00000129824,RPS4Y1,6192,Y
TBL1Y|90665,3.22938477499827,1.42724475133417e-240,2.27859624550501e-237,ENSG00000092377,TBL1Y,90665,Y
TMSB4Y|9087,3.60214294115441,4.34777768340297e-322,8.32947248586341e-318,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-3.01938340243012,1.13103774300748e-41,5.70221607382561e-39,ENSG00000270641,TSIX,9383,X
TTTY10|246119,1.3877049556575,3.69043444278758e-113,3.53506715274622e-110,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,2.71493612992718,1.17175619152695e-242,2.0407731924794e-239,NA,NA,NA,NA
TTTY15|64595,3.78117548124635,6.34366455422077e-318,6.07659627648808e-314,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,4.02608522937703,9.62387646830171e-235,1.31695875271231e-231,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.96775501378125,7.17433754149544e-268,1.71807448274962e-264,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.50027646483606,6.91365002211836e-64,4.27263571366915e-61,ENSG00000229807,XIST,7503,X
ZFY|7544,3.63573201478816,1.39689177175596e-239,2.05858865871543e-236,ENSG00000067646,ZFY,7544,Y
