ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
UTY|7404,ENSG00000183878,UTY,7404,Y,9.6,7.3e-111,1.2e-106
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,10,8.3e-101,6.9e-97
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,8.4,5.5e-97,3e-93
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,9,1.4e-96,5.8e-93
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,7.5,2.6e-95,8.5e-92
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,10,3.7e-94,1e-90
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,10,4.9e-94,1.2e-90
CYorf15B|84663,NA,NA,NA,NA,9.1,6.3e-94,1.3e-90
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,12,3.2e-87,6e-84
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,9.4,1.2e-82,2.1e-79
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.3,1.2e-79,1.9e-76
NCRNA00185|55410,NA,NA,NA,NA,6.2,3.5e-69,4.9e-66
TTTY14|83869,NA,NA,NA,NA,4.2,2.2e-68,2.8e-65
PRKY|5616,ENSG00000099725,PRKY,5616,Y,6.7,3.9e-66,4.6e-63
XIST|7503,ENSG00000229807,XIST,7503,X,-10,3e-53,3.3e-50
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,6.3,3.2e-52,3.3e-49
BCORL2|286554,ENSG00000215580,BCORP1,286554,Y,7,1.9e-49,1.8e-46
TSIX|9383,ENSG00000270641,TSIX,9383,X,-9.6,1.1e-44,1.1e-41
SRY|6736,ENSG00000184895,SRY,6736,Y,4.8,1.8e-35,1.6e-32
NCRNA00230B|401629,NA,NA,NA,NA,4.8,1.2e-34,9.6e-32
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.66,2.1e-16,1.7e-13
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.56,1e-11,7.7e-09
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.56,1.8e-11,1.3e-08
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.66,1.8e-10,1.3e-07
STS|412,ENSG00000101846,STS,412,X,-0.67,5e-10,3.3e-07
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.66,2.4e-09,1.5e-06
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.36,1.2e-08,7.3e-06
PRKX|5613,ENSG00000183943,PRKX,5613,X,-0.57,5.5e-08,3.3e-05
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.54,3.5e-07,2e-04
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.8,8e-07,0.00044
ZBED1|9189,ENSG00000214717,ZBED1,9189,X,0.39,4.6e-06,0.0025
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.47,9.4e-06,0.0049
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.28,1.3e-05,0.0067
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.51,1.5e-05,0.0075
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.84,2.4e-05,0.011
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.44,2.7e-05,0.013
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.34,7e-05,0.032
