,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
XIST|7503,ENSG00000229807,XIST,7503,X,-9.2,1.1e-34,1.7e-30
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,8,9.1e-30,7.1e-26
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,9.9,4e-28,2e-24
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,8.2,5.3e-28,2.1e-24
TSIX|9383,ENSG00000270641,TSIX,9383,X,-5.2,1.9e-24,5.9e-21
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,4.2,2.8e-22,7.3e-19
UTY|7404,ENSG00000183878,UTY,7404,Y,6.4,3e-20,6.7e-17
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,6.4,5.2e-20,1e-16
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,6.6,4.1e-19,7e-16
ZFY|7544,ENSG00000067646,ZFY,7544,Y,5.2,5.6e-18,8.6e-15
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,5.2,2.2e-17,3.1e-14
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,5.3,1.3e-16,1.6e-13
CYorf15B|84663,NA,NA,NA,NA,4.8,3.7e-16,4.4e-13
PRKY|5616,ENSG00000099725,PRKY,5616,Y,4.7,1e-14,1.2e-11
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,3.8,1.4e-14,1.4e-11
ARSD|414,ENSG00000006756,ARSD,414,X,-0.63,4.6e-09,4.5e-06
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.63,4.3e-08,3.9e-05
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.46,2.7e-07,0.00023
PRKX|5613,ENSG00000183943,PRKX,5613,X,-0.76,1.3e-06,0.001
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.4,6.6e-06,0.0051
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.55,1.3e-05,0.0094
TMEM27|57393,ENSG00000147003,TMEM27,57393,X,-0.96,5.3e-05,0.037
