ALLC|55821,-0.778262821198654,4.41304270604921e-05,0.0213127331713941,ENSG00000151360,ALLC,55821,2
CYorf15A|246126,2.94989416764678,1.96505831513316e-19,6.48240631171225e-16,ENSG00000131002,TXLNGY,246126,Y
CYorf15B|84663,2.89965061596021,1.64759254828555e-21,1.04764359546838e-17,NA,NA,NA,NA
DAZ1|1617,0.953745346662472,7.62579235228526e-07,0.000478772663184309,ENSG00000205916,DAZ4,1617,Y
DDX3Y|8653,3.53700003449765,3.26795000022864e-14,5.12931985452553e-11,ENSG00000067048,DDX3Y,8653,Y
EIF1AY|9086,3.28605235640535,2.87632362024681e-12,3.86968252766776e-09,ENSG00000198692,EIF1AY,9086,Y
KDM5D|8284,3.5762227329282,2.29072380471999e-15,3.92234389653646e-12,ENSG00000012817,KDM5D,8284,Y
NCRNA00185|55410,2.13388445883663,9.665302560965e-13,1.40035364412135e-09,NA,NA,NA,NA
NLGN4Y|22829,2.69965219869422,3.194920793098e-25,6.01763331380008e-21,ENSG00000165246,NLGN4Y,22829,Y
PRKY|5616,2.03518632275257,2.86266377275031e-10,3.17166306822071e-07,ENSG00000099725,PRKY,5616,Y
PRY2|442862,0.948784839454544,2.50872017804227e-07,0.000181737479051639,ENSG00000169807,PRY2,442862,Y
RPS4Y1|6192,3.10705902957699,3.56645445911034e-06,0.00201327873591317,ENSG00000129824,RPS4Y1,6192,Y
TMSB4Y|9087,2.52295108143787,2.21002100349917e-17,5.20321820011335e-14,ENSG00000154620,TMSB4Y,9087,Y
TSIX|9383,-2.72339266229266,1.6686651374596e-21,1.04764359546838e-17,ENSG00000270641,TSIX,9383,X
TTTY10|246119,0.568045355011129,4.34967736038468e-05,0.0213127331713941,ENSG00000229236,TTTY10,246119,Y
TTTY14|83869,1.74806567362581,1.71663381805162e-11,2.02079987268764e-08,NA,NA,NA,NA
TTTY15|64595,2.94815862800101,2.40917675508286e-19,6.48240631171225e-16,ENSG00000233864,TTTY15,64595,Y
USP9Y|8287,3.25087856173985,3.11482108401603e-17,6.51862834638244e-14,ENSG00000114374,USP9Y,8287,Y
UTY|7404,3.2974475636942,2.10186522628948e-19,6.48240631171225e-16,ENSG00000183878,UTY,7404,Y
XIST|7503,-2.97973846544685,4.93521044456239e-16,9.29546887233326e-13,ENSG00000229807,XIST,7503,X
ZFY|7544,2.80365336547912,9.22525079464608e-20,4.34393996792897e-16,ENSG00000067646,ZFY,7544,Y
