ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,9.6,0,0
UTY|7404,ENSG00000183878,UTY,7404,Y,8.9,0,0
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,8.7,0,0
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,10,0,0
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,10,0,0
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8,0,0
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,9.3,0,0
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.3,0,0
TMSB4Y|9087,ENSG00000154620,TMSB4Y,9087,Y,7,0,0
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,11,0,0
CYorf15B|84663,NA,NA,NA,NA,7.6,2.40115903878846e-321,3.59999944710933e-318
XIST|7503,ENSG00000229807,XIST,7503,X,-11,2.5e-283,3.4e-280
NCRNA00185|55410,NA,NA,NA,NA,5.4,1.3e-252,1.6e-249
PRKY|5616,ENSG00000099725,PRKY,5616,Y,5.3,2.3e-222,2.7e-219
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,5.9,1.2e-216,1.3e-213
TSIX|9383,ENSG00000270641,TSIX,9383,X,-6.9,1.1e-156,1.1e-153
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.62,6.3e-63,6.1e-60
PCDH11Y|83259,ENSG00000099715,PCDH11Y,83259,Y,2.8,2.4e-55,2.2e-52
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.43,4.9e-42,4.3e-39
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.52,1.1e-36,9.5e-34
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.56,1.5e-32,1.2e-29
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.43,3.9e-31,3e-28
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.29,5.5e-21,4e-18
ZBED1|9189,ENSG00000214717,ZBED1,9189,X,0.39,2.2e-20,1.5e-17
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.33,1e-19,6.7e-17
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.2,3.7e-19,2.4e-16
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.25,8.4e-18,5.2e-15
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.23,3e-15,1.8e-12
ASMTL|8623,ENSG00000169093,ASMTL,8623,X,0.37,3.9e-15,2.2e-12
CD99|4267,ENSG00000002586,CD99,4267,X,0.86,6.4e-12,3.5e-09
STS|412,ENSG00000101846,STS,412,X,-0.44,3.1e-10,1.7e-07
NLRP2|55655,ENSG00000277060,NLRP2,55655,CHR_HSCHR19LRC_PGF1_CTG3_1,-1,1.9e-08,9.6e-06
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.72,2.9e-08,1.4e-05
PLCXD1|55344,ENSG00000182378,PLCXD1,55344,X,0.34,7.3e-08,3.6e-05
DHRSX|207063,ENSG00000169084,DHRSX,207063,X,0.26,3.4e-07,0.00016
FRG1B|284802,NA,NA,NA,NA,0.32,3.6e-07,0.00017
GZF1|64412,ENSG00000125812,GZF1,64412,20,0.15,4.8e-07,0.00022
PLCD3|113026,ENSG00000161714,PLCD3,113026,17,0.32,7e-07,0.00031
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.19,1.2e-06,0.00052
NBPF15|284565,ENSG00000266338,NBPF15,284565,1,0.32,6.3e-06,0.0026
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.17,8.2e-06,0.0033
PYGB|5834,ENSG00000100994,PYGB,5834,20,0.22,1.2e-05,0.0047
HSPA1L|3305,ENSG00000204390,HSPA1L,3305,6,0.22,1.3e-05,0.0051
SEMA4F|10505,ENSG00000135622,SEMA4F,10505,2,-0.3,1.4e-05,0.0053
SPESP1|246777,ENSG00000258484,SPESP1,246777,15,0.47,1.6e-05,0.0058
MMRN1|22915,ENSG00000138722,MMRN1,22915,4,-0.63,1.9e-05,0.0068
DDX43|55510,ENSG00000080007,DDX43,55510,6,0.52,2.3e-05,0.0081
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.14,3.7e-05,0.013
ST5|6764,ENSG00000166444,ST5,6764,11,0.17,4e-05,0.014
GEMIN8|54960,ENSG00000046647,GEMIN8,54960,X,-0.15,4.3e-05,0.014
CCL19|6363,ENSG00000172724,CCL19,6363,9,0.74,6.1e-05,0.02
COL19A1|1310,ENSG00000082293,COL19A1,1310,6,-0.61,6.4e-05,0.021
CCNK|8812,ENSG00000090061,CCNK,8812,14,0.13,6.6e-05,0.021
IL3RA|3563,ENSG00000185291,IL3RA,3563,X,0.25,7.7e-05,0.024
RET|5979,ENSG00000165731,RET,5979,10,0.65,1e-04,0.03
GOLGA5|9950,ENSG00000066455,GOLGA5,9950,14,0.11,0.00011,0.032
MTCP1NB|100272147,ENSG00000182712,CMC4,100272147,X,0.17,0.00012,0.033
CDK16|5127,ENSG00000102225,CDK16,5127,X,-0.13,0.00012,0.033
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.19,0.00013,0.037
DKK2|27123,ENSG00000155011,DKK2,27123,4,-0.62,0.00013,0.037
C20orf3|57136,ENSG00000101474,APMAP,57136,20,0.096,0.00016,0.044
VIPAR|63894,ENSG00000151445,VIPAS39,63894,14,0.13,0.00017,0.046
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.15,0.00018,0.048
