ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
EIF1AY|9086,ENSG00000198692,EIF1AY,9086,Y,9.4,0,0
UTY|7404,ENSG00000183878,UTY,7404,Y,9.4,0,0
KDM5D|8284,ENSG00000012817,KDM5D,8284,Y,11,0,0
CYorf15A|246126,ENSG00000131002,TXLNGY,246126,Y,8.7,0,0
DDX3Y|8653,ENSG00000067048,DDX3Y,8653,Y,11,0,0
TTTY15|64595,ENSG00000233864,TTTY15,64595,Y,7.7,0,0
USP9Y|8287,ENSG00000114374,USP9Y,8287,Y,10,0,0
ZFY|7544,ENSG00000067646,ZFY,7544,Y,8.7,0,0
CYorf15B|84663,NA,NA,NA,NA,8.3,7.49991650387012e-320,1.3999999771236e-316
RPS4Y1|6192,ENSG00000129824,RPS4Y1,6192,Y,12,8.99999861777332e-319,1.50000000019285e-315
NLGN4Y|22829,ENSG00000165246,NLGN4Y,22829,Y,7.2,8.5e-292,1.3e-288
XIST|7503,ENSG00000229807,XIST,7503,X,-11,5.5e-225,7.4e-222
PRKY|5616,ENSG00000099725,PRKY,5616,Y,4.8,3.1e-127,3.8e-124
TSIX|9383,ENSG00000270641,TSIX,9383,X,-7.2,5.1e-107,5.9e-104
KDM5C|8242,ENSG00000126012,KDM5C,8242,X,-0.56,8.9e-70,9.6e-67
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.61,2.3e-52,2.4e-49
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.62,2.1e-50,2.1e-47
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.48,1.5e-46,1.3e-43
ARSD|414,ENSG00000006756,ARSD,414,X,-0.49,3.3e-42,2.8e-39
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.79,2.4e-37,1.9e-34
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.69,3.4e-34,2.6e-31
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.38,1.1e-30,8.2e-28
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.57,3e-30,2.1e-27
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.65,2e-23,1.4e-20
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.34,4.5e-22,2.9e-19
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.28,1.7e-16,1e-13
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.4,3.2e-16,1.9e-13
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.47,9.2e-16,5.4e-13
